commit_id,version,commit_id_current,current_version
83c2977e6678aad5f19a84f23b11af1f598a4770,2,NaN,4.0
c5a8ee2b9faae40f0cf3ce201ee3b42b15e94e3b,3,,
aee614ba6a950fe813518c3bea9e37db9d16b465,4,,
