"Gene","log2FC","AveExpr","PValue"
"SPP1",4.22237916666667,9.64108142857143,1.22107735098543e-21
"SLC6A4",-3.84003833333334,8.41571571428571,4.43255857921702e-19
"FABP4",-3.8214025,8.44740142857143,7.0971483675581e-18
"TMEM100",-3.40345333333334,7.41136285714286,1.43172985242265e-21
"TMPRSS4",3.29525583333333,7.90068,4.58525026655191e-18
"WIF1",-3.2367575,9.49562428571429,1.92819540034267e-12
"AGER",-3.14214583333333,10.2196814285714,2.73706297129084e-17
"RTKN2",-2.88436416666666,8.60858857142857,4.31349078959231e-15
"ANKRD1",-2.82300833333333,8.10705571428571,1.70387208195447e-13
"SOSTDC1",-2.80912416666666,7.31961285714286,6.96348843656225e-18
"GKN2",-2.8090025,7.51426571428571,3.99609585706677e-12
"SPINK1",2.80825583333333,6.82130428571429,1.09560888234639e-08
"FCN3",-2.730455,9.34604,3.72111657360978e-14
"NCKAP5",-2.73045333333333,8.14002428571429,5.97601618334439e-23
"LYVE1",-2.7182225,8.48096,1.21449032617561e-15
"AFAP1-AS1",2.62876083333333,7.49750571428571,1.37174644235785e-18
"EDNRB",-2.61866166666667,9.00337857142857,2.88874228863592e-17
"ST8SIA6",-2.56835833333333,7.65089,2.21005826758222e-15
"TEK",-2.52946083333333,8.63396714285714,2.83703331473224e-21
"FHL1",-2.52193583333333,9.43443714285714,5.02772616186499e-20
"GPM6A",-2.47880083333333,7.59841571428571,3.56362962377388e-22
"CEACAM5",2.47008583333333,8.81290428571429,3.51208583814885e-08
"CST1",2.46194,7.75941285714286,4.61911297590441e-11
"MME",-2.42655416666667,8.47474428571429,6.16258428240666e-19
"ADH1B",-2.4083825,9.27557142857143,1.4596027285096e-11
"SFTPC",-2.39713416666667,11.6265057142857,7.72088448110413e-08
"CAV1",-2.3849525,10.53892,7.70343577039529e-19
"CLIC5",-2.37074583333333,8.43052142857143,1.12668409010801e-18
"HBB",-2.35317333333333,10.1833328571429,2.16875089778132e-13
"ANKRD22",2.350795,7.61913142857143,1.66233955244061e-15
"FMO2",-2.348245,9.55496571428571,4.1852409648763e-16
"CRYAB",-2.30691166666667,7.83894142857143,2.36226520483938e-23
"SCGB1A1",-2.30525416666667,11.0045085714286,1.30481289896987e-05
"MMP7",2.2831875,8.72196857142857,6.18446133120553e-10
"ADGRF1",2.26807833333333,8.03350142857143,2.50696551285866e-11
"SEMA6A",-2.25437083333333,8.08639142857143,2.50456224130928e-17
"CPB2",-2.18356833333333,7.65505,3.88806665468442e-06
"ANOS1",-2.15694166666666,9.62152857142857,3.66688482663246e-15
"ABCA8",-2.14683166666667,7.84154571428571,2.63581711401396e-13
"ST6GALNAC5",-2.1441025,8.39851857142857,1.16913333239999e-19
"TCN1",2.1353525,6.83969142857143,0.00011529130225837
"MMP1",2.133815,7.24227285714286,3.80590239416782e-06
"GCNT3",2.1262475,7.77113857142857,1.38259962168082e-10
"CNTN6",-2.12469666666667,7.17652428571429,1.92142368651156e-19
"FHL5",-2.12218416666667,7.57843,2.29794361121433e-20
"CP",2.11820666666667,9.52522714285714,8.36718540451825e-08
"PEBP4",-2.11410583333333,9.84492285714286,3.26495999339801e-11
"PTPRB",-2.1127725,9.43296142857143,3.13851952337431e-18
"VSIG1",2.09340083333333,7.25853571428571,5.56326280192336e-06
"NECAB1",-2.08834,8.09410285714286,8.13766036764598e-09
"MUC5B",2.0810475,8.34831,1.65209131482037e-07
"CALCRL",-2.07392,9.74050285714286,2.47083169567538e-13
"SULT1C2",2.06767916666666,7.81638428571429,1.17443173984317e-11
"SDPR",-2.06579666666667,8.61673142857143,2.98986199311049e-21
"ANGPTL1",-2.0610925,6.96646285714286,1.32051888597676e-16
"PKHD1L1",-2.06064833333333,6.27095,2.28764851719704e-20
"STX11",-2.0601625,9.37533428571429,8.93819561747038e-18
"ABCC3",2.0524775,9.05054428571429,4.47919359867675e-20
"GRK5",-2.0503,9.36004,1.44895287104847e-21
"EMCN",-2.04567749999999,9.60531142857143,8.94118502506304e-15
"GNG11",-2.02841166666667,9.21795428571428,4.90191880845266e-17
"KHDRBS2",-2.02162,7.85403857142857,1.8125375786723e-18
"BCL2L15",2.015975,6.79012571428571,4.3606569405372e-18
"GPC3",-2.01158166666666,8.87985142857143,5.30886496501815e-14
"ANKRD29",-2.00879416666667,9.07969428571429,2.61910830888357e-17
"EDN1",-2.0086825,9.46029142857143,3.70544776338653e-13
"CDH5",-2.00785,9.67934714285714,3.79493656810028e-21
"IGSF10",-2.0056225,7.72453,5.90186700586614e-17
"TERC",1.98980166666667,9.09811285714286,4.6661939888215e-20
"COL6A6",-1.98858416666667,7.81591285714286,8.80549516569331e-18
"GRIA1",-1.98099083333333,7.26701857142857,9.8600184359474e-21
"MMP12",1.98018666666667,6.12321857142857,4.37918122586298e-10
"LIN7A",-1.97690083333333,7.32846571428571,1.51911660389825e-21
"MAMDC2",-1.968625,8.64034142857143,4.02153966956353e-13
"HHIP",-1.96659416666667,8.67246857142857,1.57918142741327e-08
"CHIAP2",-1.96192833333333,6.61867142857143,1.04284396637717e-10
"PGC",-1.95445,9.94216142857143,2.51199192735645e-06
"ARHGEF26",-1.95363916666667,8.58243142857143,3.3316207691209e-18
"AQP4",-1.95173916666667,9.83739714285714,5.55009499940717e-07
"ACADL",-1.94647083333333,7.84174428571429,4.56558436751195e-10
"TSPAN7",-1.94497,9.56090857142857,3.97186085631391e-12
"MT1M",-1.9411425,9.46551571428571,2.28436432705365e-11
"KL",-1.9395825,7.69964714285714,1.06011032043142e-19
"HSD17B6",-1.93844999999999,8.26149428571429,3.10074836982269e-08
"FERMT1",1.93666833333333,6.69053428571429,4.99427399196567e-12
"CYP4B1",-1.93185666666666,10.1597885714286,5.80023615057572e-08
"OCIAD2",1.93017583333334,8.97484428571429,2.25811792616975e-20
"LINC00312",-1.9044375,7.42551,1.37125784850339e-16
"CD36",-1.89844833333333,8.88383571428571,1.51691548493961e-08
"STXBP6",-1.89721833333333,7.40294857142857,5.0184532759469e-18
"GPX2",1.8969825,7.31589,4.99298134365074e-06
"SLIT2",-1.894655,9.38552,7.35781175902846e-16
"IL1RL1",-1.88570333333333,7.94111857142857,3.06706030150443e-11
"ABI3BP",-1.88420333333334,9.85014571428571,7.10030161577114e-14
"FIBIN",-1.88039166666666,7.62654714285714,5.05250722995475e-14
"SCN7A",-1.8803425,8.64227857142857,3.98815064790957e-10
"TCF21",-1.8784725,7.86431714285714,1.82574520725102e-16
"LRRN3",-1.87401666666666,7.19293,7.07074034865652e-18
"IL6",-1.86912416666667,8.28429571428572,7.98209660928377e-07
"FAM189A2",-1.86303,8.38528142857143,4.99489663694201e-17
"ANLN",1.85445166666667,7.14259,1.24597467167954e-11
"HEG1",-1.85373666666667,9.56504857142857,3.62619934601507e-17
"PDK4",-1.8473275,10.1516242857143,2.89041756148736e-12
"TGFBR3",-1.8463025,8.95941,1.26156994538657e-16
"AGBL1",-1.84290083333333,7.72540714285714,7.70006660380541e-10
"NRN1",-1.83247916666666,8.48548571428571,1.2097168684274e-16
"VIPR1",-1.81631916666666,8.90649,7.51955904706338e-16
"MFAP4",-1.80782083333333,9.09648285714286,2.40548345886012e-10
"ADAM28",1.80344083333333,8.55849428571429,4.24017064049194e-14
"SERTM1",-1.80124,7.7928,5.50058477864679e-27
"CAV2",-1.796355,10.4786114285714,4.64899529261603e-16
"TTLL7",-1.79545166666667,7.41641428571429,1.73412764313182e-16
"RXFP1",-1.7950025,6.51491428571429,7.42881096793772e-15
"CXCL13",1.78986583333333,6.24303714285714,1.49682266818083e-11
"ITLN2",-1.78660666666667,6.42836857142857,1.0445212383038e-23
"MYCT1",-1.783735,7.76204285714286,1.78605789945685e-16
"SPOCK2",-1.78048833333333,9.33251142857143,1.34170601514653e-19
"EPAS1",-1.77308333333333,11.4534628571429,4.24006479303031e-19
"MS4A15",-1.75611333333334,8.27691,4.72003174900024e-11
"CDH3",1.74689416666666,8.11474857142857,9.71998500861943e-14
"SLC19A3",-1.74374333333334,7.56244857142857,7.35074359212459e-13
"LDB2",-1.74362583333333,9.48607571428571,8.22556604039847e-20
"CCBE1",-1.74207833333333,7.06935,1.16819205397048e-20
"CHRDL1",-1.73659583333333,9.11683285714286,4.53920421726984e-10
"XDH",1.73658166666666,6.84722571428571,2.91597613110108e-14
"KLF4",-1.73544916666667,8.70363142857143,5.56941515557279e-13
"ITGA8",-1.73431916666666,8.45728714285714,5.92035889087718e-14
"HABP2",1.73271333333334,7.03336857142857,3.36634679613765e-10
"ADAMTSL3",-1.73133083333333,7.80941142857143,7.58059358159594e-22
"MMRN1",-1.72881333333333,7.74412,8.8899822027989e-10
"PECAM1",-1.7257175,11.2168257142857,2.01590601168148e-16
"CLDN18",-1.71923416666667,9.82683714285714,5.72830105062341e-06
"AGR2",1.717185,9.79408857142857,1.46871129746332e-08
"JAM2",-1.71481333333333,8.65281,1.43983620254443e-15
"ADGRE1",-1.7130525,6.75173285714286,1.26192239250374e-18
"GALNT13",-1.71092666666667,6.37516428571429,8.26152675815439e-13
"SBSPON",-1.710505,8.28512857142857,1.29864818367852e-18
"CDH13",-1.70152916666667,8.28694428571429,6.2106052923335e-20
"GLB1L3",1.69818333333333,6.44465714285714,2.64483094913191e-08
"TRHDE",-1.69467,6.32769714285714,6.0514133851843e-17
"AOC3",-1.68964166666666,8.70421714285714,5.40067598529903e-15
"TOP2A",1.68589166666667,7.5518,8.24640603222798e-13
"FOSB",-1.685845,9.53622,1.1627267312794e-07
"CYYR1",-1.68303333333333,8.65668,8.87437681029977e-14
"CRABP2",1.68242583333333,7.21656285714286,4.66684763947883e-07
"CACNA2D2",-1.67612083333333,9.28167,7.96169532059162e-09
"HGD",1.6729125,6.85147,8.2418414341903e-09
"GIMAP8",-1.66798916666666,8.16962,1.02507908484549e-20
"GOLM1",1.667525,9.81911142857143,2.15778398097238e-18
"ABCA12",1.666985,6.10122285714286,3.03097281208727e-11
"PRKG2",-1.66616083333333,6.29991142857143,5.47732090538085e-18
"IL33",-1.6652475,7.69017,8.59404369409552e-10
"VWF",-1.65689083333333,9.30673857142857,5.12438855660893e-17
"LPL",-1.65096583333333,9.25921428571429,1.97433868469551e-10
"GDF15",1.64981083333333,9.14012571428571,3.46241101762076e-08
"TMEM47",-1.64941833333333,10.3388385714286,3.35305853446481e-13
"TMOD1",-1.64563166666667,8.67285571428571,4.91721050486818e-20
"FUT2",1.6448125,6.86507285714286,1.23766952239151e-16
"VGLL3",-1.63903416666667,8.44217571428571,1.69201830194715e-13
"RHOJ",-1.6388025,9.42746142857143,3.67834702502874e-17
"PALMD",-1.63766666666667,8.73041714285714,3.70653450838179e-16
"SVEP1",-1.63743333333333,8.20361714285714,1.21716811898202e-11
"HSPB8",-1.63096583333333,8.12906285714286,1.1741228432073e-15
"ACVRL1",-1.62722,8.78486,1.1627913215688e-24
"C10orf67",-1.62013,5.75271142857143,1.05418283724775e-23
"TNNC1",-1.6151125,8.19153857142857,3.81706620049441e-18
"SULT1C4",-1.61325583333333,7.10452285714286,6.51555132504365e-12
"SEMA6D",-1.6122875,7.68978285714286,1.57719063684668e-15
"TIMP3",-1.60521250000001,8.71130571428571,6.5469730386472e-13
"BTNL9",-1.6051275,7.95365428571429,5.71409584910663e-19
"SLC39A8",-1.60314916666667,11.0237014285714,6.70963630146442e-10
"FILIP1",-1.60110166666666,8.36217142857143,4.92623338708046e-14
"DACH1",-1.59959083333333,7.17927142857143,2.77321457122083e-17
"CYP24A1",1.59899166666667,6.25617285714286,9.05335273892483e-06
"SEMA5A",-1.59858916666667,9.11173714285714,1.58082656973773e-14
"LIFR",-1.59519583333333,10.3200028571429,2.15189587777401e-11
"TOX3",1.59223,7.57461571428571,4.35302104939292e-12
"GHR",-1.59077833333333,7.08055714285714,9.26440551258064e-17
"NPNT",-1.58765416666667,10.1176657142857,1.6732758572066e-12
"FAP",1.58573083333333,7.27449857142857,3.77513080002705e-10
"LHFP",-1.58376416666666,10.5512485714286,1.56352396598358e-12
"FGFBP2",-1.57453666666667,6.04804142857143,3.25676681735497e-19
"ADGRL3",-1.573345,7.05831571428571,5.43630253807732e-15
"SLCO1A2",-1.56910166666666,5.50191714285714,9.10640005306669e-18
"SLC28A3",1.56691333333334,6.91173571428571,3.6587808843214e-11
"SLC1A1",-1.56037166666667,8.66764571428571,1.07442552424454e-07
"ATP10B",1.55528833333333,6.56596285714286,2.0005120937594e-10
"MMP11",1.55483,7.99314428571429,2.4406403668554e-09
"CDCA7",1.55385416666667,6.50589,1.27109011255678e-11
"SCEL",-1.55341166666667,8.82631285714286,6.04751844414555e-07
"OTUD1",-1.5455975,8.73453142857143,1.69426773097874e-20
"ASPA",-1.54264333333333,6.06085285714286,9.3991963403542e-16
"GBP4",-1.54209833333333,8.82084428571429,5.85327546166106e-10
"FAM107A",-1.53561,8.36535857142857,1.22999552679201e-19
"NQO1",1.53560333333333,9.37687428571429,3.11078263489839e-10
"SLC7A11",1.53380333333333,7.53572571428571,3.92220049266584e-08
"ACKR4",-1.53318916666666,8.76869857142857,5.74367338461493e-11
"SASH1",-1.52835166666667,9.13886285714286,2.09582935788747e-25
"ANO2",-1.52823083333333,7.49027857142857,5.0486153487523e-20
"CDHR3",-1.52475916666667,7.98550571428571,7.51651414187637e-06
"S1PR1",-1.5242025,7.47365714285714,2.59663425008424e-19
"GPX3",-1.52334416666667,9.94615428571429,1.39985476229866e-15
"OR5P2",-1.52246833333333,6.36916142857143,1.76220749321852e-09
"PTPN21",-1.52246833333333,8.50754142857143,1.30315564795857e-21
"OLFM4",1.51873833333333,5.87242714285714,0.000902192334871599
"GIMAP6",-1.516115,8.18194857142857,9.38033973130541e-17
"VEPH1",-1.514285,8.64400428571428,8.91674923857517e-07
"HBEGF",-1.514155,9.83297857142857,2.44399647640029e-10
"AFF3",-1.5114975,7.73833714285714,2.46219948445808e-13
"RGCC",-1.51114416666666,10.8283457142857,3.34774886819854e-16
"PCDH15",-1.50821166666666,5.96851142857143,1.11879302924493e-12
"DNAH14",1.50789833333333,6.34678285714286,7.44652371814091e-13
"COL10A1",1.50753583333333,6.73068571428571,4.1607710595986e-12
"OLR1",-1.5056,9.88788714285714,2.26332234044716e-06
"C7",-1.50087083333333,10.0163128571429,6.24221925221022e-06
"ANGPT1",-1.4992325,7.35614571428571,2.16225755921272e-13
"MUC21",1.49834666666667,9.38847142857143,6.82513286769302e-05
"PREX2",-1.49623583333334,9.07686142857143,5.88539076341806e-13
