"Gene","log2FC","AveExpr","PValue"
"C1QC",-4.98891428571429,11.19406,0.00630623696900449
"JAML",-4.65019523809524,11.06953,0.0031743215705395
"FAM216B",-4.64896666666667,10.80479,0.0056059347259474
"MS4A8",-4.57590476190476,10.9332,0.00643121076781967
"CD300LF",-4.55419047619048,11.0092,0.00826124553606989
"CFAP100",-4.55270952380953,10.35047,0.00168493276945042
"CD163",-4.51975714285714,11.07177,0.010833163885975
"CD48",-4.50358571428572,10.52719,0.00754008695536568
"AKAP14",-4.45612857142858,10.17721,0.00248092304081787
"C20orf85",-4.43919047619048,10.3227,0.00227818812725186
"C2orf40",-4.42828571428572,10.9409,0.00901725064751136
"DNAI2",-4.37536666666667,10.37851,0.00164729056213091
"MS4A7",-4.31553333333334,10.05176,0.000788289392437126
"CD93",-4.27722857142857,11.55994,0.0236620371913472
"CA4",-4.25854285714286,11.38072,0.0145507916216825
"FGR",-4.22637619047619,10.83957,0.00735274729862791
"COL6A6",-4.22258571428572,10.22509,0.000732622439712871
"CD69",-4.20446190476191,10.53311,0.00451587795518998
"C22orf15",-4.17535238095238,10.00882,0.00195590639502731
"CFAP46",-4.1233380952381,10.21193,0.00193287617735208
"AQP4",-4.11970952380952,11.47457,0.0162530290473748
"C11orf88",-4.11388095238095,11.06565,0.00842834998302981
"NAPSB",-4.10268571428572,10.78442,0.00112365275596955
"ADH1B",-4.06652857142857,10.46743,0.0100861627994369
"SFTPC",-4.03122857142858,12.13644,0.0372009408027123
"FMO3",-4.02715714285715,10.98659,0.0164355021106806
"C7",-4.01439047619048,11.26656,0.00926977498746892
"BPIFB1",-4.01436190476191,11.75428,0.0123981047605098
"FCGR1A",-4.0013,10.70009,0.00363542098499807
"C9orf135",-3.98828095238096,10.62517,0.0067583265223533
"MYH11",-3.98378095238096,11.10752,0.016399702691802
"CD1D",-3.97240952380953,10.18948,0.000497511609329008
"IGLL1",-3.97000476190476,10.16933,0.00554645139389697
"GIMAP5",-3.96635714285714,10.98885,0.0135938211322001
"ARMC3",-3.94142380952381,10.69517,0.00320206838526649
"C1orf158",-3.92456666666667,9.97857,0.00305876002706994
"CACNA2D2",-3.90895714285715,10.03873,0.000872285669005409
"HBB",-3.85814285714287,11.0301,0.0166461953496567
"HCLS1",-3.85580952380953,11.5652,0.0104992619156142
"CD300LG",-3.85420952380953,10.35962,0.00663317205645327
"SFTPD",-3.83577619047619,12.32729,0.0148080004417407
"CCL19",-3.8254380952381,10.28946,0.0155012055586746
"C9orf24",-3.82078095238096,10.98312,0.00306335606377049
"LYZ",-3.81683333333333,10.56475,0.01265325957641
"C1orf87",-3.80091904761905,10.03959,0.00503535886708747
"CD300C",-3.78530952380953,9.88285,0.000348736536758414
"CD37",-3.76961428571429,9.77557,0.000282431087777134
"HLA-DQB2",-3.76840476190477,10.54405,0.00703942791368228
"SLIT3",-3.76734285714286,10.26206,0.00202225676681346
"NKG7",-3.74701428571429,11.05329,0.0189085093584313
"LILRB2",-3.74479523809524,10.86611,0.00798484957560547
"C2",-3.74298571428572,10.94931,0.00355906728410715
"FAM83A",3.73628571428571,10.9014,0.0015881638416045
"SFTPB",-3.73178571428572,11.36635,0.0124032275931732
"GIMAP8",-3.70431904761905,10.36811,0.00785586840092034
"C1orf194",-3.68437619047619,10.86077,0.00760047707295388
"TEKT1",-3.6713380952381,10.66273,0.00145860006003675
"MS4A6A",-3.66242380952381,9.77727,0.0039673244998162
"LRRC71",-3.64772857142857,9.71739,0.000386628662999988
"HLA-DPB1",-3.64574761904762,10.03751,0.00154924681264896
"OSCAR",-3.63932380952381,11.34214,0.00262889909543801
"APOC2",-3.63931904761905,10.06681,0.00449578612643595
"CD53",-3.63408571428572,11.55654,0.0107129712495359
"TCF21",-3.62842857142858,10.7111,0.0459985442766929
"CD33",-3.61010952380953,10.24449,0.00386079808066697
"AGR3",-3.60509523809524,10.9215,0.00742280520710694
"MCEMP1",-3.59642380952381,10.81747,0.00610215267259869
"MS4A6E",-3.59041904761905,9.14724,0.00230009754808401
"GBP6",-3.58227619047619,9.59964,0.00136138609168562
"SLC11A1",-3.57840952380953,10.34278,0.00160134104290198
"SLCO2B1",-3.57748571428572,10.38156,0.0108448629917288
"CALB2",3.57285238095238,12.67133,6.80107377040405e-05
"RSPH10B2",-3.56946190476191,10.79651,0.000351356518013279
"AFF3",-3.56611428571429,10.51092,0.00971047681341171
"IRX6",-3.56542857142857,10.3053,0.00149428527969317
"CX3CR1",-3.56002380952381,10.22785,0.0010670465881035
"CCL14",-3.55277142857143,10.75236,0.0283054166500905
"FCGR1B",-3.54861428571429,9.24947,0.000214149129835577
"GZMB",-3.54598095238095,11.13998,0.0187475130688591
"VSIG4",-3.53838571428572,9.74813,0.000408434075865791
"C6",-3.53610952380953,11.09449,0.0119856804578193
"GZMH",-3.53486666666667,10.19966,0.0170340332317816
"CCDC190",-3.53458571428572,11.05999,0.0126970949485536
"CLEC10A",-3.52892857142857,9.48925,0.000528431525143595
"GZMK",-3.52538095238095,9.9284,0.00794997820209771
"GJB3",3.51947619047619,10.7205,0.000318730265109223
"MS4A15",-3.51555714285715,9.83021,0.00638282091540401
"CYCSP52",3.51117619047619,11.52949,0.00152030884009427
"CFAP157",-3.49751428571429,9.65584,0.00491735803147475
"C4BPA",-3.49442380952381,11.69167,0.0167644877598542
"CDHR4",-3.47164761904762,10.52318,0.0128024812130143
"PIGR",-3.46952857142857,10.93323,0.0202299971694277
"CLEC12A",-3.45133333333333,10.8413,0.0109743502974041
"CD2",-3.44007619047619,10.91368,0.00936367553236679
"TEKT3",-3.43757142857143,9.679,0.00055147421275954
"CD74",-3.43506190476191,10.54149,0.00109429007201125
"CD209",-3.43355238095238,10.11738,0.00938069225381705
"CPVL",-3.42716190476191,10.70392,0.00820396067576884
"ITGAL",-3.42386190476191,11.41643,0.035714402331238
"PDE1B",-3.41665238095239,9.63801,0.000145514967327615
"CCL23",-3.41559047619048,10.14682,0.019649547246871
"HLA-DOA",-3.41514285714286,11.536,0.0217755328598006
"LAMP5",-3.41465714285715,10.12704,0.0119922260408413
"VWA3B",-3.41178095238096,10.61242,0.00548894647764806
"SPAG8",-3.40729047619048,11.19013,0.0256229381627041
"LST1",-3.40716666666667,10.40265,0.0214637887749645
"NLRC4",-3.40323809523809,9.7395,0.000144206236298731
"ACVRL1",-3.40172857142858,9.89619,0.00533821080563761
"GIMAP6",-3.39799047619048,10.68234,0.0190970109870873
"CFAP61",-3.39587142857143,9.67219,0.00255823896603786
"FOXE1",3.39271904761904,10.66977,0.00785339331408002
"PTPRT",-3.39196190476191,9.31326,0.00050925111833783
"SELP",-3.38327619047619,11.20524,0.0587048657847386
"CD34",-3.37956190476191,10.74914,0.0247906540816868
"CD36",-3.37069523809524,11.11188,0.00668230666214951
"ARHGAP15",-3.35415714285715,10.42109,0.00797098085469196
"SCGB3A2",-3.34266190476191,11.42837,0.00698968578114099
"CD86",-3.33927619047619,9.38924,0.000125464154232533
"TTC29",-3.33294761904762,10.85947,0.0355716684248834
"AQP9",-3.32048571428572,10.84816,0.00702151463789121
"BTNL9",-3.32047142857143,11.27687,0.0285194926415304
"DNAH12",-3.31767142857143,10.20843,0.00275841258420233
"SASH3",-3.31600476190477,10.67233,0.0311136437228886
"LMOD1",-3.30440476190476,10.44475,0.00414991897778956
"GSTA1",-3.29499047619048,10.79184,0.0182799298258023
"NCKAP5",-3.29168095238096,9.97769,0.0105651162837869
"CD79B",-3.2861380952381,10.47387,0.0158310093666995
"CD96",-3.27770476190477,11.21014,0.0150893506846148
"CAPSL",-3.27767619047619,9.71976,0.00251990266349452
"DRC7",-3.27106666666667,9.92822,0.00141910249741769
"PLA2G2A",-3.27034761904762,10.46349,0.0270626753019632
"SERPINB5",3.26597619047618,11.91035,0.00111077019581779
"C1orf141",-3.26560952380953,9.62304,0.00454958518577586
"SIGLEC10",-3.26466666666667,10.1325,0.00722498882193589
"DNAH6",-3.26377142857143,10.46556,0.00710566684107034
"FERMT3",-3.24523333333333,10.92897,0.00227371730948137
"IL18RAP",-3.24245714285715,10.93388,0.0101502808858969
"PLEKHS1",-3.24105714285714,11.77316,0.0148397605690429
"KLHL6",-3.23255238095238,10.55638,0.0178112268758035
"ITLN1",-3.23245714285714,9.59978,0.0089516684388758
"DDX3Y",-3.23217142857143,10.47128,0.0511704789883788
"IDO2",-3.22477142857143,9.23386,0.000608341530288086
"ARHGAP9",-3.22190952380953,9.75713,0.00356116346339551
"CCL21",-3.21413333333334,10.38114,0.035513212464188
"CARNMT1",3.20639047619047,11.88994,8.62639109277262e-06
"ADAMTSL2",-3.19939047619048,11.25766,0.00943863964044385
"RPL13AP17",-3.19485238095238,10.73897,0.0141605369197816
"USP9Y",-3.18496190476191,10.36296,0.0220808433056782
"FLRT3",-3.17892857142857,10.32145,0.00236320728654798
"PTPRO",-3.17438571428571,10.14683,0.00367785032098505
"RPL29",3.17107142857143,10.74065,0.00222106997654583
"CD3D",-3.16977142857143,10.80176,0.0160502119097408
"APOBR",-3.16280476190476,10.01917,0.000179668050349797
"DNAH3",-3.16155238095238,10.60298,0.00885215884747423
"KLRB1",-3.15988095238096,10.91735,0.0551384718909606
"CXCL12",-3.14331904761905,10.10091,0.00728960772644155
"MMRN1",-3.13010952380953,11.32979,0.0768757978970356
"SCIMP",-3.12958095238096,9.47856,0.000174486155051606
"ARHGAP24",-3.12459047619048,11.27082,0.0131645336858868
"CD1C",-3.12400952380953,9.68016,0.00187841950933037
"GRP",-3.10694761904762,10.82857,0.0355354240639924
"C6orf118",-3.10510952380953,10.74239,0.0148163290248658
"STOML3",-3.10361428571429,10.45577,0.0658671146393017
"ACP5",-3.10354761904762,10.00845,0.00024573349340642
"CFAP65",-3.10006190476191,9.54919,0.000638966520387828
"SLAMF6",-3.09865714285714,9.34404,0.00171473085762869
"TEKT2",-3.09735714285715,10.58565,0.0049840874839819
"ITGAM",-3.09649047619048,11.12939,0.00160020841613176
"KDM5D",-3.09106666666667,10.18102,0.0255005690832404
"ERCC6L",3.07881904761905,10.82184,0.000385875692841414
"AGTR1",-3.07775238095238,9.48624,0.00164401608987421
"CXCL14",-3.07419047619048,10.6638,0.0132808106916548
"SPARCL1",-3.06956666666667,11.88897,0.0259872988205401
"COX4I2",-3.06275238095238,10.87424,0.0971310257540847
"CNTD1",-3.05947619047619,9.2066,0.000737671241723462
"NDNF",-3.05481904761905,11.56736,0.0397228370618275
"CCL18",-3.04590952380953,9.75743,0.0274997054653158
"PIP",-3.04359047619048,10.50792,0.0209086278782659
"CCM2L",-3.04276190476191,11.2476,0.0399193720054538
"ZBTB16",-3.0403380952381,10.62963,0.0289852360749155
"BTK",-3.0376761904762,10.16516,0.00713935217350062
"CD84",-3.03367142857143,9.58323,0.00235311499092535
"CFAP43",-3.02951904761905,11.12687,0.00871816406952359
"LUM",-3.02550476190477,11.45988,0.0438404941704911
"EFCAB1",-3.02499047619048,10.36434,0.0815437764855752
"AGBL2",-3.02080476190476,10.24377,0.00232429403654852
"CAPN3",-3.01244285714286,10.99219,0.000390141890601862
"CCL3",-3.00854285714286,9.42352,7.9423110999245e-05
"GPNMB",-3.00737142857143,11.31584,0.00437403504515818
"ABCA6",-3.00480476190477,10.01317,0.00226324448890513
"HLA-DRB4",-2.99525714285714,10.73892,0.0412065940838113
"SLC5A9",-2.99104761904762,10.3501,0.0251270622634833
"CD3E",-2.99067142857143,9.81223,0.00650980929574945
"JAM3",-2.98668571428572,11.92972,0.108475376164339
"ACADL",-2.98162857142858,10.59736,0.0210106323010925
"TREML1",-2.98138095238095,9.174,0.000158620841644183
"EXO1",2.97709047619047,11.00193,7.19247878577956e-05
"CFAP77",-2.97407619047619,10.07038,0.00252353977545822
"PGC",-2.96870476190476,10.70674,0.0681328849645488
"FAM107A",-2.96642380952381,11.56477,0.0904956457288893
"ACE",-2.96282380952382,10.11419,0.00565096361377559
"ACKR1",-2.96239523809524,10.87559,0.0809931560951343
"GPBAR1",-2.95948095238095,10.87183,0.00242573156407143
"AGER",-2.95415714285715,11.74529,0.00681909442027026
"CSF3R",-2.95002380952381,11.38715,0.028461938782701
"PIH1D3",-2.94899523809524,10.33407,0.0249981697996763
"PKD2L1",-2.94317619047619,9.92161,0.00554537251301307
"RNASE6",-2.9410761904762,10.80308,0.0283011856997135
"DLEC1",-2.93625238095238,11.25869,0.0394438987841753
"APCDD1",-2.93428095238096,11.04307,0.0564570038225831
"ADAMDEC1",-2.92559523809524,9.73955,0.0480812018683784
"SGIP1",-2.92541428571429,11.12771,0.014461094834492
"PRKY",-2.91197142857143,10.48462,0.0406504934518384
"DPCR1",-2.91079523809524,10.68211,0.0436111216448033
"LY9",-2.90925714285714,9.25952,0.000807938716493949
"A2M",-2.90816666666667,12.65305,0.0266430216873241
"PDPN",-2.9,9.8333,0.00742384670779473
"MSC",-2.89967142857143,9.31723,0.00914489202203453
"IRF8",-2.89869047619048,10.44905,0.0492862954124611
"ERICH3",-2.89820476190476,9.87459,0.00450521432573244
"DPYSL4",-2.89120952380953,10.26952,0.0189857445296476
"ARMC4",-2.88613333333334,11.31984,0.0238200875149048
"CD1A",-2.88562380952382,9.46473,0.00180084148499028
"ARL14",2.88217619047619,11.00149,0.0372668787916609
"MFAP5",-2.87911428571429,11.59792,0.0217855211352607
"ACOXL",-2.87093333333334,9.14068,0.000266953972507372
"FPR3",-2.86891428571429,10.25266,0.0278785804202335
"PCSK1N",2.86498571428571,10.54259,2.32720372080471e-05
"PMEPA1",2.86371428571428,11.1454,0.0101392103817216
"HPGDS",-2.86245714285715,9.90608,0.0143013331589815
"FMO2",-2.8607380952381,10.55345,0.141207902926425
"ALPL",-2.85579047619048,12.75898,0.0375466723524122
"CAPN9",-2.85518095238095,10.76534,0.0197629645020172
"CCL13",-2.85480952380953,10.6075,0.0680928208557866
"LCP2",-2.8522,10.74886,0.0435011168476996
"SCRG1",-2.85185238095238,10.10987,0.0750888467718646
"SP140",-2.85131904761905,10.29381,0.00970718056474179
"C5orf49",-2.8453380952381,9.34883,0.00241538079665748
"CACNG6",-2.83980000000001,10.87304,0.0152861713958525
"LY86",-2.83846190476191,10.78741,0.00866682673567881
"COL5A3",-2.83839047619048,10.48106,0.0253904642485368
"ALOX15",-2.83415238095239,10.41956,0.0100326449416996
"LAMA2",-2.82978571428572,9.94315,9.72584056066249e-05
"LILRB3",-2.82932857142858,11.77957,0.0286456004067879
"NWD1",-2.82792380952381,11.50472,0.039082722942893
"C10orf107",-2.82335714285714,10.06435,0.0111979642250144
"C8orf34",-2.82024285714286,9.84253,0.000669027641977664
"TMEM204",-2.81744761904763,11.38952,0.0829535076441408
"EFCAB6",-2.81585238095238,9.75597,0.00521147204562373
"SIRPA",-2.81429047619048,11.26763,0.011312772567278
"CSMD1",-2.81328095238096,10.67007,0.0728627306134911
"SFTA2",-2.81267142857143,12.11593,0.0897019470326626
"CD19",-2.81221428571429,11.23215,0.0815398512567497
"BPIFA1",-2.81050952380952,10.43241,0.00792342622199434
"NKX2-1",-2.80501428571429,12.60119,0.117041932799942
"WDR49",-2.80307619047619,10.24308,0.0204517100688101
"ALDH1A1",-2.79759047619048,12.40612,0.0801681425030927
"CALCRL",-2.79698095238096,10.35628,0.0180964875232358
"EGFL7",-2.79417142857143,9.52038,0.00687159076462494
"CD6",-2.79092380952381,11.03272,0.0174152915635379
"KIF4A",2.78593333333333,12.40212,0.00557855637030933
"MAL",-2.78264761904762,10.16638,0.00506792110781145
"PPP1R32",-2.78095238095238,9.6182,0.00353567599409058
"GPR87",2.78063809523809,11.66888,0.0494172882090503
"PRAM1",-2.77937619047619,10.85777,0.023789916067449
"RERGL",-2.77527619047619,10.86374,0.000847787159354508
"AXIN2",-2.77288571428572,11.81048,0.0194968340782058
"LILRA2",-2.76335238095238,9.37872,0.043857392656434
"FHAD1",-2.75872380952381,10.17306,0.108140166211824
"RPL36A",2.75681428571428,10.49297,0.000200846779160027
"SIRPB1",-2.75662380952381,10.82143,0.00946219653648779
"WDR38",-2.75120476190477,9.98659,0.00964584745963094
"SLC44A4",-2.74659523809524,11.53445,0.0393408748125478
"EFCAB12",-2.74566666666667,9.5903,0.0010181620753312
"C22orf34",-2.74540476190477,9.63675,0.00404038715736126
"CD1E",-2.74358095238096,9.59276,0.000342637883338174
"GIMAP4",-2.74129047619048,11.26423,0.0827012991035581
"ABCA8",-2.73875714285715,10.28007,0.0139706644947453
"KIAA0226L",-2.73440952380952,10.38278,0.00352980336070851
"NAPSA",-2.73168095238095,12.05009,0.0942234900355973
"CD52",-2.72803333333333,10.38971,0.0564338990929694
"DYDC2",-2.72535238095239,10.43092,0.0515449822011537
"GBP5",-2.72360476190477,10.88091,0.0377823458940507
"C3AR1",-2.72277142857143,9.57326,0.00708575560132409
"ATP13A4",-2.72160476190477,10.93631,0.0333745878098441
"CD27",-2.71861428571429,9.58377,0.0199367429103242
"APLNR",-2.71680476190476,10.38447,0.0739931109773128
"MBNL2",2.71451428571428,10.83726,0.0019307933273395
"COX7A1",-2.70130476190476,10.69432,0.0620601684346429
"ITM2A",-2.69899047619048,11.44524,0.0495123505597839
"HLA-DOB",-2.69838571428572,11.44913,0.0168173360690702
"GYPE",-2.69163809523809,9.95072,0.0250804866689922
"CCDC114",-2.6913380952381,10.44023,0.00283134690297689
"APOBEC3A",-2.6907619047619,11.0021,0.0807620053092493
"RTN1",-2.68895238095238,10.7955,0.118444766256738
