"Gene","log2FC","AveExpr","PValue"
"CALML3",6.41750833333333,11.6023142857143,1.32208552414501e-06
"SFTPC",-6.03955,11.5071285714286,5.00820175843825e-05
"KRT6C",5.80333333333333,11.6842571428571,3.04039335172605e-05
"CD300LF",-5.67288333333333,10.9554857142857,0.00018935152218163
"FAM216B",-5.49844166666667,10.9171,0.000107788792204295
"C1QC",-5.495825,11.5458285714286,0.0051221292129934
"MCEMP1",-5.43936666666667,10.2267571428571,8.74876522859093e-07
"CA4",-5.413375,11.2683428571429,0.000445721965146654
"CFAP100",-5.41286666666667,10.4443,8.17513828560808e-07
"C4BPA",-5.40616666666667,11.0485285714286,0.000240018461932948
"MS4A8",-5.40168333333334,11.0496571428571,0.000486914692842599
"SFTA3",-5.37434166666667,11.1256142857143,1.39949573078841e-05
"HLA-DPA1",-5.32135833333333,10.9766571428571,2.05740923023374e-05
"ARMC3",-5.31416666666667,10.4175,1.01529593895167e-05
"JAML",-5.30021666666667,11.2959714285714,0.000377527636780717
"HBB",-5.299325,10.7026142857143,6.18086810857212e-05
"SPRR1B",5.23630833333333,11.0743428571429,2.94728841872618e-05
"SFTA2",-5.23025,11.0960857142857,1.66186887651449e-05
"CD93",-5.1607,11.6050285714286,0.00399299405205651
"C6",-5.07759166666667,10.6682857142857,0.0002156863111813
"CSF3R",-5.07141666666667,10.5542142857143,0.000323814948042507
"CLEC12A",-5.06068333333334,10.3654142857143,1.80732378547011e-06
"CLIC6",-5.04985,10.7517714285714,0.000582504604314178
"CD163",-5.04505,11.3527142857143,0.00104030441475402
"TCF21",-5.02735,10.3782285714286,0.00139167616256982
"LILRB3",-5.0145,10.8946714285714,8.91909684795632e-06
"KRT6B",4.9724,12.6134714285714,0.000249425547521076
"CD53",-4.9626,11.2646285714286,0.00194031080256459
"CFAP46",-4.95759166666667,10.2653571428571,2.8844122520806e-06
"CD300LG",-4.94334166666667,10.2328,9.81536554598696e-06
"DNAI2",-4.89971666666667,10.6414285714286,2.48702774527595e-05
"FGR",-4.89740833333334,10.9995142857143,8.00013175961585e-05
"C9orf135",-4.87616666666667,10.6305857142857,1.23787661896776e-05
"HLA-DQB2",-4.87380833333334,10.3969,9.79920310309485e-06
"SFTPB",-4.8479,11.2083714285714,0.0191400253210309
"C20orf85",-4.84778333333334,10.6599714285714,0.000543346815332666
"PECAM1",-4.822575,10.4317428571429,0.000163768982103844
"C22orf15",-4.76874166666667,10.2065714285714,9.11114898968221e-06
"SPRR3",4.72739166666667,11.0728,0.0028289981965839
"ALOX5AP",-4.702775,11.8103,0.000887865424103407
"C1orf158",-4.66049166666667,10.0626285714286,3.12787286188825e-05
"GZMB",-4.64271666666667,10.9691857142857,0.00573899016295993
"CLDN18",-4.64193333333334,10.0081,0.0402170339305447
"IL7R",-4.61481666666667,10.0777285714286,0.00102419997322666
"CD48",-4.6018,11.0501,0.00173079144063599
"C1orf87",-4.59885833333333,10.0723142857143,3.66712667148506e-06
"C6orf118",-4.54526666666667,10.3186714285714,5.41181232418252e-05
"NAPSB",-4.5148,11.0764142857143,0.00308328828161804
"ACSL5",-4.50565,10.3999428571429,1.70902362474669e-05
"OSCAR",-4.49726666666667,11.3198,2.46862169622592e-05
"AQP4",-4.49626666666667,11.7890714285714,0.00260812082403987
"GIMAP5",-4.491825,11.1985428571429,0.00578744820821469
"DNAH6",-4.491,10.1839142857143,0.000115740728980456
"SLCO2B1",-4.4858,10.3224857142857,0.000285564827557734
"COL4A3",-4.45450833333333,10.5016,0.00230064598005224
"AKAP14",-4.44805000000001,10.7547571428571,0.00025154470604571
"NKX2-1",-4.432725,12.0317142857143,0.00631421978699672
"CD74",-4.41513333333334,10.4231,0.000428796168016943
"GIMAP4",-4.40885833333334,10.6637857142857,0.00142478842956078
"CD3D",-4.4016,10.5054,0.00214461207424108
"DRC7",-4.36326666666667,9.72467142857143,6.97410283199591e-06
"FCGR1A",-4.334175,11.0243285714286,0.000893031962078038
"FPR3",-4.3262,9.78878571428571,0.00120004502866257
"DLEC1",-4.32261666666667,10.844,0.000480042019799751
"CD33",-4.31921666666667,10.3034428571429,0.000117061112694222
"CD300C",-4.31699166666667,10.0657142857143,1.88726852187269e-05
"SFTPD",-4.30528333333334,12.5521714285714,0.0138506146081527
"CCL14",-4.298225,10.7831714285714,0.00818349019528979
"SPRR2B",4.28903333333333,10.4721428571429,0.00769606907400767
"CACNG6",-4.284475,10.4126285714286,3.07960486918581e-05
"NCF4",-4.28039166666667,10.0890285714286,0.00040358217301911
"GIMAP6",-4.27833333333334,10.6161714285714,0.00344805269526107
"HLA-DRA",-4.26752500000001,11.2209142857143,0.000342407409660704
"GZMH",-4.24629166666667,10.2476142857143,0.000389069771792581
"DSG3",4.24620833333333,11.9893714285714,0.0174301314550493
"GZMK",-4.23349166666667,9.97702857142857,0.00027072540583844
"MS4A7",-4.22073333333334,10.6607857142857,0.0172624598561562
"CNTNAP3",4.189775,10.5041571428571,0.0175347011269898
"ADH1B",-4.18045,10.9251714285714,0.00571981952211266
"ALOX5",-4.17395833333333,12.7573142857143,0.00309585780953146
"SIGLEC10",-4.16691666666667,10.0366714285714,0.000508316383073965
"ECSCR",-4.16366666666667,10.2162285714286,0.00431076567818953
"SPRR2A",4.16345,11.0527142857143,0.00269837556954339
"APOC2",-4.14538333333334,10.2455428571429,0.00108603404129417
"CSF1R",-4.14203333333333,10.4834571428571,0.0050000200377727
"CD37",-4.139025,10.0491428571429,0.00012917619915637
"RTN1",-4.13811666666667,10.3131285714286,0.0166721945550906
"C1orf194",-4.13793333333333,11.0753,0.000409531515999805
"ITGAM",-4.12878333333333,10.9376285714286,0.00149523634834087
"CFAP157",-4.124275,9.74737142857143,9.81092261785021e-05
"KRT78",4.11335833333333,10.4054571428571,0.00645047349059308
"C7",-4.10755833333334,11.7294571428571,0.0221939226846327
"PARVG",-4.10124166666667,10.1983,0.0311709791667982
"CCL23",-4.09693333333334,10.1966285714286,0.000682540300962346
"ANPEP",-4.08576666666666,11.2618428571429,0.000157940135106151
"WDR49",-4.08380833333333,9.87162857142857,0.000172883805304863
"TEKT1",-4.07971666666667,10.9014,7.89021969529353e-05
"CD19",-4.069525,10.8752571428571,0.00371854243407912
"ACVRL1",-4.068725,9.95241428571429,0.000158331275279106
"HLA-DRB1",-4.06604166666667,11.6073142857143,0.0196752641627023
"ERICH3",-4.05565833333334,9.58581428571429,1.46674638647539e-05
"CLDN5",-4.05344166666667,10.2866142857143,0.0500634159625081
"A2M",-4.05116666666667,12.3738142857143,0.0302213153012524
"PLA2G2A",-4.04283333333333,10.4425428571429,0.00249979311746908
"PZP",-4.04245833333334,9.52015714285714,0.0356336025356492
