"Gene","log2FC","AveExpr","PValue"
"CLDN18",-6.43284545454545,7.50450681818182,4.70032288736933e-41
"KRT6A",6.09991363636364,7.645075,8.46912679338018e-18
"ADH1B",-6.03028636363637,8.87552045454546,1.85235813422217e-34
"AGER",-5.70822954545455,8.07715113636364,1.34617351109935e-45
"MMP12",5.64181363636363,7.74245227272727,8.68813169529356e-30
"CLIC5",-5.50926136363636,8.09813522727273,4.61688098479541e-39
"SPRR1B",5.48793409090909,6.5814375,1.11795671155531e-16
"SFTPC",-5.22516590909091,8.8150625,2.98866099101675e-39
"MMP1",5.13915681818182,7.21165113636364,5.87492046493263e-22
"AKR1B10",5.13373181818182,6.46130681818182,4.52803404197565e-17
"TMEM100",-5.0797,7.82459772727273,2.97451542877673e-31
"SERPINB5",5.0454,6.20025454545455,2.53833748454254e-19
"FABP4",-5.02874318181818,9.2061875,2.79745497730066e-26
"S100A2",5.016725,8.47787159090909,2.61770564078939e-19
"GKN2",-4.99751136363636,7.37100113636364,8.50645839291952e-37
"KRT5",4.97678181818182,7.49558636363636,4.1583320391714e-13
"FAM107A",-4.92466136363637,7.89190568181818,7.93355761989114e-38
"MT1M",-4.90108409090909,7.92357840909091,8.76217906661603e-27
"GJB2",4.89996136363636,7.02540795454545,1.9646314540489e-23
"CPB2",-4.86505681818182,6.93455340909091,1.22767793576945e-35
"GJB6",4.83227045454546,5.7857125,1.28364411606229e-15
"TOP2A",4.72870454545455,6.43046818181818,2.47272687105445e-47
"COL11A1",4.70605227272727,6.06570113636364,2.35898546995505e-25
"GPM6A",-4.69444090909091,6.04546136363636,3.61665226091334e-45
"PEBP4",-4.63462727272727,7.54084772727273,4.85024721548649e-34
"GREM1",4.63435454545455,6.50208409090909,3.03523290946203e-24
"KRT15",4.48997727272728,7.29084090909091,4.69908998881179e-17
"KRT14",4.47896363636364,6.25194772727273,1.10753875542864e-11
"TNNC1",-4.46592727272727,6.29827045454546,7.30328434450947e-46
"MCEMP1",-4.4382,8.62715681818182,2.22251222381445e-34
"PSAT1",4.42386363636364,6.66809318181818,1.17222540738824e-33
"SOX2",4.39895,7.16393636363636,1.37135887245549e-16
"SPRR3",4.36247272727273,6.26333636363636,6.50515516481593e-12
"SLC2A1",4.35370454545455,7.42464090909091,1.4297689747676e-31
"GPX2",4.33350227272727,7.02001931818182,1.1485564097317e-16
"FCN3",-4.32734772727272,8.34026477272727,1.7324750883013e-28
"ANLN",4.31586136363636,6.35687159090909,1.64206422227009e-46
"SFTPD",-4.2535,10.3731045454545,8.74237514728752e-19
"SPP1",4.24997272727273,9.5177,1.07131929674979e-20
"ABCA8",-4.24278636363637,6.57239545454545,1.34228811851004e-37
"ADAMTS8",-4.19746590909091,7.11517840909091,1.38233936434357e-45
"CDC20",4.16937954545454,6.65944204545455,8.09849000531304e-44
"CYP4B1",-4.16711818181818,7.76311363636364,9.97462811987085e-30
"CA4",-4.15892045454546,6.8371625,2.69668939895902e-33
"WIF1",-4.15877954545454,8.17868068181818,5.34931257976795e-16
"KRT16",4.15273863636364,6.94487159090909,1.62551916395734e-14
"CD36",-4.13071818181819,7.11161590909091,8.03169445321043e-32
"TPX2",4.11465681818182,6.63382613636364,4.1359898172152e-45
"INMT",-4.09738636363637,7.70662045454545,4.37132431721565e-39
"TMPRSS4",4.08238409090909,7.19389431818182,1.13206772329649e-28
"RRM2",4.07235227272727,7.96232840909091,1.18840756740925e-35
"DSG3",4.06972272727272,6.39272727272727,2.85707005114264e-14
"TP63",4.06273409090909,6.70843068181818,2.80998317567453e-13
"WDR72",4.05900909090909,6.06922272727273,1.13632497730417e-16
"KRT6B",4.05368181818182,6.84222727272727,1.55672969985454e-16
"COL4A3",-4.04999318181819,6.50666704545455,1.4489218493129e-26
"VEPH1",-4.049325,6.57954431818182,3.45962970952811e-40
"SCN7A",-4.0478840909091,6.51902386363636,1.15291351025185e-34
"BIRC5",4.04737727272727,6.46656590909091,2.62148817586018e-41
"NTS",4.04367727272727,6.40983409090909,2.64000251299016e-09
"LRRK2",-4.03447727272728,8.00679090909091,2.53592650929602e-27
"CHRDL1",-4.02784318181818,7.37858068181818,1.34046465497339e-27
"MAMDC2",-4.02471590909091,6.67750568181818,6.11617059520406e-30
"SUSD2",-4.01587727272727,8.58597272727273,9.97538237189118e-26
"ASPM",4.01552727272727,5.82340909090909,2.40542134564249e-45
"DSC3",4.01329318181818,5.40993522727273,2.10629955578032e-14
"SPRR1A",4.00750454545455,6.74632045454545,4.15351319616409e-14
"CCNB1",3.98476818181818,6.970925,4.36110904778886e-44
"TCF21",-3.95846590909091,7.15244659090909,8.87836561191806e-44
"GPR87",3.95086136363636,5.4392625,8.70651487124426e-20
"SFTA2",-3.89750681818182,8.95649204545455,9.98815224361946e-14
"DLGAP5",3.88632727272727,5.67641590909091,5.39688883862431e-40
"SCGB1A1",-3.884025,8.08875568181818,1.86744699003753e-08
"TRIM29",3.88249318181818,8.34445795454545,2.7025738114561e-14
"DSP",3.87489772727272,9.54095113636364,9.76619870661728e-29
"AGR3",-3.87417727272727,8.93202045454546,1.26119213997796e-15
"SFTA3",-3.85105,8.60643863636364,5.97189276412869e-15
"CCNB2",3.84063863636363,6.86805340909091,2.11531255074748e-37
"CALML3",3.82282272727273,5.77239772727273,6.57316210615508e-12
"SERPINB3",3.80972272727273,5.914475,4.07202038902211e-13
"FHL1",-3.80589318181818,8.39849886363636,1.69806501299534e-33
"PKP1",3.80238181818182,6.46111818181818,3.65794754381637e-15
"FOLR1",-3.78378636363636,9.23360909090909,9.25975565715996e-19
"KIAA0101",3.78367727272727,8.38518636363636,9.06203460338783e-33
"IGF2BP3",3.75739090909091,6.11987727272727,3.066439863305e-22
"SPRR2B",3.75324090909091,6.71359772727273,2.32436387721725e-11
"EMCN",-3.74826818181818,7.17459772727273,1.72116189692898e-37
"EDNRB",-3.74664772727273,7.23010340909091,1.72709031810896e-36
"ADRB1",-3.73864318181818,6.91943977272727,5.61448135749414e-28
"FOSB",-3.73077272727273,8.50727954545455,1.34293412562246e-19
"UBE2C",3.72994318181818,7.68774204545455,4.36460814464265e-38
"FAM83D",3.72198181818182,7.50977727272727,1.09845762566876e-29
"FMO2",-3.71347954545455,8.8107125,8.0007266929201e-29
"CXCL2",-3.71323409090909,9.75192386363636,8.65722543212354e-21
"LPL",-3.71238636363636,8.53344772727273,4.03547764683205e-28
