"Gene","log2FC","AveExpr","PValue"
"CLDN18",-7.16183333333334,12.3158,4.71451246818068e-12
"SFTPC",-6.61101666666666,12.88536,1.97184362764025e-09
"TCF21",-6.45575000000001,12.0971,2.02428173889725e-11
"CALML3",6.39959166666666,10.51292,4.32522101398573e-10
"CLDN5",-6.196775,12.26749,1.58012546408422e-10
"FGG",-5.98903333333334,12.03052,6.15051906453934e-08
"KRT6C",5.98206666666666,10.58216,7.59904909355255e-08
"GKN2",-5.85195833333333,11.55965,3.79012352051078e-10
"DMBT1",-5.84805833333334,12.06841,1.54652965072335e-08
"C4BPA",-5.84318333333334,12.23751,4.82196227133625e-07
"DSG3",5.81675833333333,10.31912,2.50923421740897e-09
"PARVG",-5.80650833333334,11.92453,4.88769445929336e-10
"CSF3R",-5.78640000000001,11.85259,8.5051548480877e-08
"FCN3",-5.74385833333334,12.52674,2.001948521968e-06
"HLA-DQA1",-5.68874166666667,11.38052,3.71313199290473e-09
"HBA2",-5.68824166666667,12.34332,9.07087139757366e-07
"CD300LF",-5.68041666666667,11.9325,6.93363552293538e-07
"ZNF385B",-5.639825,11.88807,6.08641041201114e-07
"CLIC6",-5.63806666666667,11.97039,3.06305362217092e-07
"SCGB3A1",-5.60769166666667,12.31204,2.71965516658543e-07
"COL4A3",-5.55854166666667,11.92765,2.6018636623251e-06
"CECR1",-5.54245833333334,12.3195,1.67892634188145e-07
"FOXA2",-5.53456666666667,11.74019,1.63703969502266e-07
"CA4",-5.52354166666666,12.26245,3.9295739124883e-06
"SFTA3",-5.50829166666667,12.1273,1.55920222623389e-08
"PZP",-5.504375,11.0903,2.7249185601163e-08
"SFTA2",-5.48015,12.14264,1.60713669776916e-08
"HLA-DPA1",-5.477775,11.98274,4.21658315008732e-09
"HDC",-5.45167500000001,11.52948,8.77980086534325e-10
"PRAME",5.41491666666666,10.3277,4.4895345881131e-08
"PECAM1",-5.36865833333334,11.58612,7.33265332756789e-10
"CYP4B1",-5.342825,11.35307,1.36354498073337e-08
"FCER1G",-5.32949166666667,12.26937,7.02559764720662e-08
"IL7R",-5.27246666666667,11.26343,8.52491762344921e-10
"ITGB2",-5.26636666666667,12.51152,9.79664412965624e-06
"CD93",-5.26238333333334,12.55073,7.78029380732566e-05
"GIMAP4",-5.260225,11.93041,8.5732948905498e-10
"MS4A4A",-5.23108333333333,11.08085,6.45848756854811e-09
"HBB",-5.22194166666666,11.56464,3.13547002225552e-08
"HCK",-5.22170000000001,11.95222,3.00499314951715e-06
"ECSCR",-5.21151666666667,11.55871,3.80322552950181e-07
"LDB2",-5.17888333333334,11.99018,7.43431830092103e-09
"ESAM",-5.15639166666667,12.55706,1.49537470522893e-06
"ITLN2",-5.14242500000001,12.23948,1.25352480024164e-06
"CLEC12A",-5.13413333333334,11.27703,4.34165051253816e-08
"GNLY",-5.13157500000001,11.13587,6.76649514035525e-07
"JAML",-5.12115000000001,12.09714,2.98522929864266e-06
"PRDM16",-5.1153,11.58803,1.93973161659499e-06
"CSF1R",-5.10821666666667,11.77323,1.8483316538457e-09
"SCTR",-5.09303333333334,11.20332,2.60663815536475e-08
"LILRB3",-5.07368333333333,11.78981,2.5965275761681e-09
"RGS1",-5.03179166666667,11.44595,2.39016871736704e-08
"VWF",-5.03058333333334,13.2619,0.00017730614370274
"TYROBP",-5.00734166666667,11.11228,4.47245070974691e-09
"RTN1",-4.99003333333333,11.53367,1.73401258998644e-06
"MST1L",-4.98924166666667,11.28362,3.28787535881321e-07
"FMO2",-4.96930833333334,12.36576,1.50474232838365e-06
"PGM5",-4.94379166666667,11.627,3.56349323959626e-07
"ROS1",-4.88855,10.96528,2.54570746453057e-06
"EDNRA",-4.87615,12.31039,0.000633535049755124
"FGR",-4.87110833333334,11.82329,1.87225814195674e-07
"SPRR1B",4.84674166666666,10.41043,1.26185886721699e-06
"VIPR1",-4.83931666666667,13.81739,0.00376808160378591
"CTSE",-4.82970833333334,10.9734,2.55075481912021e-06
"MFAP4",-4.8279,12.92934,0.000666174128914106
"CDH5",-4.81801666666667,11.95506,0.000129313929525298
"IL10RA",-4.80525000000001,11.75055,6.82214080808142e-07
"CD1C",-4.78343333333333,10.79031,5.61813464398969e-08
"LY6D",4.78070833333333,10.76065,1.63755860470776e-05
"RASIP1",-4.77509166666667,11.89633,5.62879259374209e-06
"ZNF280A",4.773725,9.98799,5.52818214401903e-06
"CELF2",-4.76086666666667,11.44207,1.37472704066008e-07
"STAB1",-4.75679166666667,11.14555,6.35816708849363e-10
"KRT16",4.74583333333333,11.96715,0.000321863730799833
