Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000362001	C20orf62	{'C20orf62'}	{'ENSG00000168746'}	{'Q4KN68', 'A2A2S9', 'Q5QPC4'}
9606.ENSP00000362010	ANXA7	{'ANXA7'}	{'ENSG00000138279'}	{'Q5F2H3', 'Q5T0M6', 'P20073', 'Q5T0M7'}
9606.ENSP00000362014	DNM1	{'DNM1'}	{'ENSG00000106976'}	{'Q5SYX2', 'A6NLM6', 'Q6P3T6', 'Q5SYX0', 'Q05193', 'Q86VD2'}
9606.ENSP00000362018	CENPI	{'CENPI'}	{'ENSG00000102384'}	{'Q96ED0', 'Q5JWZ9', 'Q92674'}
9606.ENSP00000362021	TMEM35	{'TMEM35'}	{'ENSG00000126950'}	{'Q53FP2', 'Q9H7Y3'}
9606.ENSP00000362027	TRMT2B	{'TRMT2B'}	{'ENSG00000188917'}	{'A6NEI9', 'Q9H9K2', 'A6NMG6', 'Q5JPF0', 'Q96IH9', 'Q96HU7', 'A6NDG5', 'Q5JVY6', 'Q96GJ1'}
9606.ENSP00000362036	MRPS16	{'MRPS16'}	{'ENSG00000182180'}	{'Q96Q60', 'B4E032', 'Q9Y3D3'}
9606.ENSP00000362041	DNAJC9	{'DNAJC9'}	{'ENSG00000213551'}	{'Q8WXX5', 'B2RMW6'}
9606.ENSP00000362047	XKRX	{'XKRX'}	{'ENSG00000182489'}	{'B2RNN6', 'B4DKU2', 'Q6PP77', 'Q5H9J6'}
9606.ENSP00000362054	ENSG00000214732		{'ENSG00000214732'}	
9606.ENSP00000362057	NOX1	{'NOX1'}	{'ENSG00000007952'}	{'Q2PP02', 'Q9Y5S8', 'O95691', 'A8K836'}
9606.ENSP00000362060	NDUFS5	{'NDUFS5'}	{'ENSG00000168653'}	{'O43920'}
9606.ENSP00000362061	OSER1	{'OSER1'}	{'ENSG00000132823'}	{'Q9P0R8', 'Q9NZ84', 'B2RCK4', 'O95912', 'Q9NX31'}
9606.ENSP00000362063	CSTF2	{'CSTF2'}	{'ENSG00000101811'}	{'Q5H951', 'P33240', 'Q8N502', 'Q6LA74'}
9606.ENSP00000362068	TAF8	{'TAF8'}	{'ENSG00000137413'}	{'Q7Z7C8', 'Q8N4R9', 'Q96M52', 'Q5T0K1'}
9606.ENSP00000362071	JPH2	{'JPH2'}	{'ENSG00000149596'}	{'E1P5X1', 'O95913', 'Q9BR39', 'Q5JY74', 'Q9UJN4'}
9606.ENSP00000362080	SYTL4	{'SYTL4'}	{'ENSG00000102362'}	{'Q8N9P4', 'Q5H9J3', 'Q9H4R1', 'Q5JPG8', 'Q9H4R0', 'Q96C24'}
9606.ENSP00000362082	CCND3	{'CCND3'}	{'ENSG00000112576'}	{'Q6FG62', 'E9PAS4', 'E9PB36', 'Q96F49', 'Q5T8J0', 'B2RD63', 'P30281', 'B3KQ22'}
9606.ENSP00000362085	C9orf16	{'C9orf16'}	{'ENSG00000171159'}	{'Q5SYV8', 'Q9Y3F7', 'Q9BUW7'}
9606.ENSP00000362092	RRAGC	{'RRAGC'}	{'ENSG00000116954'}	{'Q9H8Q8', 'Q9HB90', 'Q9H202'}
9606.ENSP00000362094	GTSF1L	{'GTSF1L'}	{'ENSG00000124196'}	{'Q9H1H1', 'Q5JWH5'}
9606.ENSP00000362095	SRPX2	{'SRPX2'}	{'ENSG00000102359'}	{'O60687', 'B3KQT3', 'Q8WW85'}
9606.ENSP00000362103	POU3F1	{'POU3F1'}	{'ENSG00000185668'}	{'Q5TAG2', 'Q03052'}
9606.ENSP00000362105	UTP11L	{'UTP11L'}	{'ENSG00000183520'}	{'Q9BS98', 'Q5VT93', 'Q9NS31', 'A8K785', 'Q9Y3A2', 'B4DJC6', 'D3DPT7'}
9606.ENSP00000362107	FHL3	{'FHL3'}	{'ENSG00000183386'}	{'Q9BVA2', 'Q6I9T0', 'D3DPT6', 'Q13643'}
9606.ENSP00000362108	LCN2	{'LCN2'}	{'ENSG00000148346'}	{'P80188', 'P30150', 'A6NII8', 'B4DWV4', 'Q6FGL5', 'Q92683', 'Q5SYV9', 'Q5SYW0', 'B7ZAA2'}
9606.ENSP00000362109	FRS3	{'FRS3'}	{'ENSG00000137218'}	{'Q5T3D5', 'O43559'}
9606.ENSP00000362110	SF3A3	{'SF3A3'}	{'ENSG00000183431'}	{'D3DPT5', 'Q15460', 'Q12874', 'Q5VT87'}
9606.ENSP00000362111	TSPAN6	{'TSPAN6'}	{'ENSG00000000003'}	{'Q6IAN9', 'Q54A42', 'O43657'}
9606.ENSP00000362115	INPP5B	{'INPP5B'}	{'ENSG00000204084'}	{'Q658Q5', 'C9J6U5', 'Q86YE1', 'Q5VSH0', 'Q5VSG9', 'P32019', 'Q6PD53', 'Q6P6D4', 'Q5VSH1'}
