Ensembl_ID	Preferred_name	Ensembl_HGNC	Ensembl_gene	Ensembl_UniProt_AC
9606.ENSP00000362480	VPS26A	{'VPS26A'}	{'ENSG00000122958'}	{'Q9H982', 'A8MZ56', 'B2RDD3', 'Q8TBH4', 'O75436'}
9606.ENSP00000362481	UPRT	{'UPRT'}	{'ENSG00000094841'}	{'Q96MW2', 'Q5JRL3', 'Q68DN0', 'Q5JRL1', 'Q96BW1'}
9606.ENSP00000362485	GARNL3	{'GARNL3'}	{'ENSG00000136895'}	{'Q8IYU1', 'B4DEP7', 'Q8ND89', 'Q5VVW2', 'Q8N951', 'Q9BQH6', 'B7Z3Q6'}
9606.ENSP00000362507	CCDC167	{'CCDC167'}	{'ENSG00000198937'}	{'Q9BTQ9', 'Q5T7F7', 'Q9P0B6'}
9606.ENSP00000362508	UGT1A4	{'UGT1A4'}	{'ENSG00000244474'}	{'B8K288', 'Q5DT00', 'B2R937', 'P22310'}
9606.ENSP00000362513	UGT1A5	{'UGT1A5'}	{'ENSG00000240224'}	{'B8K294', 'P35504'}
9606.ENSP00000362524	ANGPTL2	{'ANGPTL2'}	{'ENSG00000136859'}	{'Q5JT58', 'Q9UKU9', 'Q8NCH7'}
9606.ENSP00000362525	UGT1A7	{'UGT1A7'}	{'ENSG00000244122'}	{'Q9HAW7', 'O00473', 'B8K293'}
9606.ENSP00000362532	RPRD1B	{'RPRD1B'}	{'ENSG00000101413'}	{'Q9NQG5', 'Q1WDE7', 'Q6PKF4'}
9606.ENSP00000362547	TTI1	{'TTI1'}	{'ENSG00000101407'}	{'Q9H4K0', 'D6W4K3', 'O43156', 'Q96A38', 'Q9BR47', 'Q5JX67'}
9606.ENSP00000362549	UGT1A1	{'UGT1A1'}	{'ENSG00000242366'}	{'Q8TEX4', 'B2R8S3', 'Q8WTQ9', 'Q8WX85', 'Q9HAW9', 'O14928', 'B8K290'}
9606.ENSP00000362550	CMTR1	{'CMTR1'}	{'ENSG00000137200'}	{'Q14670', 'Q8N1G2', 'Q96FJ9', 'A8K949'}
9606.ENSP00000362551	ZBTB34	{'ZBTB34'}	{'ENSG00000177125'}	{'Q38IA7', 'Q8NCN2', 'Q5VYE9'}
9606.ENSP00000362555	RNF19B	{'RNF19B'}	{'ENSG00000116514'}	{'Q5TH44', 'Q8N2S8', 'Q6P6A4', 'G3XA82', 'E9PAW6', 'Q5TH45', 'Q0VG77', 'B7ZLB2', 'Q6ZMZ0', 'Q8WUF3'}
9606.ENSP00000362560	VSTM2L	{'VSTM2L'}	{'ENSG00000132821'}	{'Q5JWZ4', 'Q5JWZ5', 'E1P5V7', 'Q8ND45', 'Q9BR37', 'Q96N03'}
9606.ENSP00000362562	TMEM54	{'TMEM54'}	{'ENSG00000121900'}	{'Q8IVD0', 'Q969K7', 'Q6UV18', 'Q9UM12'}
9606.ENSP00000362563	ZBTB43	{'ZBTB43'}	{'ENSG00000169155'}	{'O43298', 'Q5JU96'}
9606.ENSP00000362566	HPCA	{'HPCA'}	{'ENSG00000121905'}	{'P84074', 'P32076', 'P70510', 'P41211', 'B2R9T3', 'D3DPQ7'}
9606.ENSP00000362570	FNDC5	{'FNDC5'}	{'ENSG00000160097'}	{'Q7Z676', 'A6NMC9', 'D3DPQ6', 'Q6P6D9', 'Q8NAU1'}
9606.ENSP00000362574	S100PBP	{'S100PBP'}	{'ENSG00000116497'}	{'D3DPQ5', 'Q96BU1', 'Q5HYH3', 'B3KR04', 'Q9H997'}
9606.ENSP00000362576	YARS	{'YARS'}	{'ENSG00000134684'}	{'Q53EN1', 'P54577', 'D3DPQ4', 'O43276', 'B3KWK4'}
9606.ENSP00000362578	RNF8	{'RNF8'}	{'ENSG00000112130'}	{'A6NN24', 'Q5NKW5', 'Q53H16', 'B4DPG0', 'O76064', 'A8MYC0'}
9606.ENSP00000362588	PBX3	{'PBX3'}	{'ENSG00000167081'}	{'Q5JSA0', 'Q96PF9', 'Q5JSA1', 'E9PB27', 'Q5VXL3', 'Q96PG0', 'P40426'}
9606.ENSP00000362590	TBC1D22B	{'TBC1D22B'}	{'ENSG00000065491'}	{'Q9BUT5', 'Q32MQ8', 'Q7Z6P7', 'Q5VUK9', 'Q9BPV6', 'Q6P4C3', 'Q9NXB6', 'Q9NU19', 'A8KA28'}
9606.ENSP00000362592	RBBP4	{'RBBP4'}	{'ENSG00000162521'}	{'P31149', 'D3DPQ3', 'B4DRH0', 'Q96BV9', 'Q09028', 'Q53H02', 'B2R6G9'}
9606.ENSP00000362601	CHIC1	{'CHIC1'}	{'ENSG00000204116'}	{'A0PJZ2', 'Q5VXU3', 'Q5CZ84', 'B9EGS5', 'B0QZ87'}
9606.ENSP00000362608	PIM1	{'PIM1'}	{'ENSG00000137193'}	{'Q5T7H7', 'Q96RG3', 'Q38RT9', 'P11309'}
9606.ENSP00000362609	ZBTB8A	{'ZBTB8A'}	{'ENSG00000160062'}	{'Q8N2Y5', 'Q8IWR9', 'Q96BR9', 'Q96BX0', 'Q8IUL5'}
9606.ENSP00000362613	CDX4	{'CDX4'}	{'ENSG00000131264'}	{'A1A513', 'Q5JS20', 'O14627'}
9606.ENSP00000362616	NAP1L2	{'NAP1L2'}	{'ENSG00000186462'}	{'Q8TAN6', 'B2RE61', 'B4E161', 'Q9ULW6'}
9606.ENSP00000362617	NAP1L6	{'NAP1L6'}	{'ENSG00000204118'}	{'A6NFF2'}
9606.ENSP00000362618	PABPC1L2A	{'PABPC1L2A'}	{'ENSG00000186288'}	
9606.ENSP00000362621	PABPC1L2B	{'PABPC1L2B'}	{'ENSG00000184388'}	{'B2RMV9', 'Q8IVU8', 'Q5JQF8'}
9606.ENSP00000362634	TSSK3	{'TSSK3'}	{'ENSG00000162526'}	{'Q96PN8', 'Q5TEE5'}
9606.ENSP00000362638	MARCKSL1	{'MARCKSL1'}	{'ENSG00000175130'}	{'P49006', 'D3DPQ0', 'Q6NXS5', 'Q5TEE6'}
9606.ENSP00000362639	RABEPK	{'RABEPK'}	{'ENSG00000136933'}	{'Q6P092', 'Q6IBG7', 'O00568', 'Q9BWB1', 'Q7Z6M1', 'Q69YR2', 'Q6FHA4', 'Q86Y76', 'A8K403'}
9606.ENSP00000362643	PHKA1	{'PHKA1'}	{'ENSG00000067177'}	{'Q2M3D7', 'B7ZL05', 'B7ZL07', 'P46020'}
9606.ENSP00000362649	HDAC1	{'HDAC1'}	{'ENSG00000116478'}	{'Q13547', 'Q92534'}
9606.ENSP00000362650	SCAI	{'SCAI'}	{'ENSG00000173611'}	{'Q3SXZ2', 'Q8N1I4', 'Q3SXZ1', 'Q5T163', 'Q8N9R8'}
9606.ENSP00000362656	GOLGA1	{'GOLGA1'}	{'ENSG00000136935'}	{'Q8IYZ9', 'Q92805', 'Q5T164'}
9606.ENSP00000362674	HDAC8	{'HDAC8'}	{'ENSG00000147099'}	{'Q9BY41', 'Q9NP76', 'A6NET3', 'B4DKN0', 'Q9NYH4', 'B4DV22', 'A6ND61', 'A8MQ62', 'Q86VC8', 'A6ND12', 'A6NJR3'}
9606.ENSP00000362680	SRC	{'SRC'}	{'ENSG00000197122'}	{'E1P5V4', 'Q9H5A8', 'P12931', 'Q76P87', 'Q86VB9'}
9606.ENSP00000362682	OLFML2A	{'OLFML2A'}	{'ENSG00000185585'}	{'Q5JTM6', 'Q7Z5V3', 'Q68BL7', 'Q5JTM5', 'Q6UXW1'}
9606.ENSP00000362684	FAM167B	{'FAM167B'}	{'ENSG00000183615'}	{'Q5TDH6', 'Q9BTA0'}
9606.ENSP00000362687	DDX50	{'DDX50'}	{'ENSG00000107625'}	{'Q9BWI8', 'Q5VX37', 'Q9BQ39', 'Q8WV76'}
9606.ENSP00000362688	EIF3I	{'EIF3I'}	{'ENSG00000084623'}	{'Q13347'}
9606.ENSP00000362690	NR5A1	{'NR5A1'}	{'ENSG00000136931'}	{'O15196', 'Q5T6F5', 'Q13285'}
9606.ENSP00000362702	NEK6	{'NEK6'}	{'ENSG00000119408'}	{'Q5TBG9', 'Q96E83', 'Q6IAR3', 'Q9HC98', 'Q6FG86', 'Q5TBG3', 'Q9ULX2', 'B7Z2D9'}
9606.ENSP00000362707	MANBAL	{'MANBAL'}	{'ENSG00000101363'}	{'E1P5V3', 'A8KAA6', 'Q9NQG1'}
9606.ENSP00000362710	COPS7B	{'COPS7B'}	{'ENSG00000144524'}	{'Q5BJG3', 'Q53S22', 'Q9H9Q2', 'Q9H7V6'}
9606.ENSP00000362711	TXLNA	{'TXLNA'}	{'ENSG00000084652'}	{'Q5TFJ6', 'D3DPP6', 'Q86T85', 'Q86T54', 'Q86T86', 'Q86YW3', 'Q66K62', 'P40222', 'Q8N2Y3', 'Q86Y86'}
9606.ENSP00000362716	GHRH	{'GHRH'}	{'ENSG00000118702'}	{'Q4KN10', 'P01286', 'Q5JYR1'}
9606.ENSP00000362717	LHX2	{'LHX2'}	{'ENSG00000106689'}	{'P50458', 'Q8N1Z3', 'Q52M57', 'O95860'}
9606.ENSP00000362727	DENND1A	{'DENND1A'}	{'ENSG00000119522'}	{'D3PFD3', 'B7Z669', 'B1AM80', 'B7Z3C8', 'Q9H796', 'Q8TEH3', 'Q05C88', 'Q5VWF0', 'A8MZA3', 'Q6PJZ5', 'Q8IVD6'}
9606.ENSP00000362728	KPNA6	{'KPNA6'}	{'ENSG00000025800'}	{'O60684', 'D3DPP5', 'B2RDC7', 'Q5VVU3'}
9606.ENSP00000362730	MTCH1	{'MTCH1'}	{'ENSG00000137409'}	{'Q9NZR6', 'Q6PK60', 'A8KAX5', 'Q6UX45', 'Q9BW23', 'Q9UJZ5', 'Q7L465', 'B2RCE3', 'Q9NZJ7'}
9606.ENSP00000362734	CRB2	{'CRB2'}	{'ENSG00000148204'}	{'Q6ZWI6', 'Q5JS43', 'A2A3N4', 'Q0QD46', 'Q5IJ48', 'Q5JS41', 'Q6ZTA9'}
9606.ENSP00000362743	C2orf72	{'C2orf72'}	{'ENSG00000204128'}	{'A6NCS6'}
9606.ENSP00000362744	RPS4X	{'RPS4X'}	{'ENSG00000198034'}	{'P12750', 'Q14727', 'P27576', 'P62701', 'P12631', 'Q6IPY4', 'P55831'}
9606.ENSP00000362746	GPR21	{'GPR21'}	{'ENSG00000188394'}	{'Q99679', 'Q6NXU2', 'B2R8W9'}
9606.ENSP00000362748	TET1	{'TET1'}	{'ENSG00000138336'}	{'Q8TCR1', 'Q8NFU7', 'Q9C0I7', 'Q7Z6B6', 'Q5VUP7'}
9606.ENSP00000362751	RABGAP1	{'RABGAP1'}	{'ENSG00000011454'}	{'Q6ZMY1', 'Q9HA28', 'Q9P0E2', 'B9A6L2', 'Q9UG67', 'Q9Y3P9', 'Q05CW2'}
9606.ENSP00000362759	BAI2	{'BAI2'}	{'ENSG00000121753'}	{'O60241', 'Q8NGW8', 'B9EGK9', 'Q96GZ9', 'Q5T6K0'}
9606.ENSP00000362760	ZBTB26	{'ZBTB26'}	{'ENSG00000171448'}	{'Q9HCK0', 'Q8WTR1', 'B3KQ53'}
9606.ENSP00000362763	ZBTB6	{'ZBTB6'}	{'ENSG00000186130'}	{'Q15916', 'A8K8N6'}
9606.ENSP00000362768	RBL1	{'RBL1'}	{'ENSG00000080839'}	{'A8K2W5', 'P28749', 'Q9H1M1', 'Q4VXA0', 'Q8N5K6', 'Q9H1L5'}
9606.ENSP00000362773	PIN4	{'PIN4'}	{'ENSG00000102309'}	{'B3KXM0', 'Q0D2H3', 'Q9Y237', 'Q6IRW4', 'Q3MHV0', 'Q52M21', 'A8E0G6', 'F5H1P5', 'Q5HYW6'}
9606.ENSP00000362774	RC3H2	{'RC3H2'}	{'ENSG00000056586'}	{'Q9HBD1', 'Q9HBD2', 'Q4VXB1', 'Q9NWN9', 'Q9NXE1', 'Q8N3D6', 'Q5JPD7', 'Q96F27', 'Q9H5J2', 'Q86ST6'}
9606.ENSP00000362776	COL16A1	{'COL16A1'}	{'ENSG00000084636'}	{'Q16593', 'Q59F89', 'Q71RG9', 'Q07092'}
9606.ENSP00000362777	ATOH7	{'ATOH7'}	{'ENSG00000179774'}	{'Q8N100'}
9606.ENSP00000362778	PI16	{'PI16'}	{'ENSG00000164530'}	{'Q6UXB8', 'Q8NBK0', 'Q6ZVG9', 'Q8TCB8', 'Q8IYL8'}
9606.ENSP00000362784	OR5C1	{'OR5C1'}	{'ENSG00000148215'}	{'Q96RC4', 'B2RN54', 'Q8NGR4', 'B9EGT0'}
9606.ENSP00000362792	OR1N2	{'OR1N2'}	{'ENSG00000171501'}	{'Q6IF17', 'A3KFM2', 'B2RNY4', 'Q8NGR9', 'Q96RA3'}
9606.ENSP00000362795	CXCR3	{'CXCR3'}	{'ENSG00000186810'}	{'Q9P2T4', 'Q7Z710', 'O15185', 'P49682', 'Q9P2T5', 'B2R982'}
9606.ENSP00000362799	ACRC	{'ACRC'}	{'ENSG00000147174'}	{'B9EG62', 'Q96QF7'}
9606.ENSP00000362803	PPIL1	{'PPIL1'}	{'ENSG00000137168'}	{'O15001', 'Q5TDC9', 'Q9Y3C6'}
9606.ENSP00000362807	PEF1	{'PEF1'}	{'ENSG00000162517'}	{'Q9UBV8'}
9606.ENSP00000362814	SERINC2	{'SERINC2'}	{'ENSG00000168528'}	{'A0AVB4', 'Q96SA4', 'B4DJK5', 'Q86Y23', 'B7ZAP2', 'E7EUZ9', 'B7Z567'}
9606.ENSP00000362817	FABP3	{'FABP3'}	{'ENSG00000121769'}	{'Q5VV93', 'P05413', 'Q99957', 'B2RAB6'}
9606.ENSP00000362820	SRSF3	{'SRSF3'}	{'ENSG00000112081'}	{'O08831', 'P23152', 'B4E241', 'Q5R3K0', 'P84103'}
9606.ENSP00000362824	OGT	{'OGT'}	{'ENSG00000147162'}	{'Q7Z3K0', 'Q8WWM8', 'Q96CC1', 'O15294', 'Q9UG57'}
9606.ENSP00000362836	KCTD20	{'KCTD20'}	{'ENSG00000112078'}	{'Q5W105', 'Q69YQ7', 'Q8IZ55', 'Q7Z5Y7', 'B4E2Q3', 'B4DZD3', 'F5H3T3'}
9606.ENSP00000362841	NKAIN1	{'NKAIN1'}	{'ENSG00000084628'}	{'B7Z5F5', 'A2VDJ3', 'Q4KMZ8', 'B7Z5W9', 'Q9H9M7'}
9606.ENSP00000362863	REEP3	{'REEP3'}	{'ENSG00000165476'}	{'Q6PJY4', 'Q6PEW8', 'Q5JQR5', 'Q5QGT2', 'Q6NUK4'}
9606.ENSP00000362869	MORN5	{'MORN5'}	{'ENSG00000185681'}	{'B7Z7I5', 'Q5VZ52', 'Q6ZQN1'}
9606.ENSP00000362870	MATN1	{'MATN1'}	{'ENSG00000162510'}	{'Q5TBB9', 'P21941', 'B2R7E3'}
9606.ENSP00000362873	NDUFA8	{'NDUFA8'}	{'ENSG00000119421'}	{'Q9Y6N0', 'P51970', 'B1AM93'}
9606.ENSP00000362888	ADO	{'ADO'}	{'ENSG00000181915'}	{'B1AL29', 'Q96SZ5'}
9606.ENSP00000362894	RTKN2	{'RTKN2'}	{'ENSG00000182010'}	{'Q8IZC4', 'Q8TAV2', 'Q8N8K1', 'Q3ZCR1', 'Q68DZ6'}
9606.ENSP00000362900	SRSF4	{'SRSF4'}	{'ENSG00000116350'}	{'Q5VXP1', 'Q08170', 'Q9BUA4', 'Q9UEB5'}
9606.ENSP00000362918	YTHDF2	{'YTHDF2'}	{'ENSG00000198492'}	{'Q8TDH0', 'Q9BUJ5', 'A8K966', 'Q5VSZ9', 'Q9Y5A9', 'A6NKG4', 'D3DPM8', 'B4E1G7'}
9606.ENSP00000362924	GSN	{'GSN'}	{'ENSG00000148180'}	{'P06396', 'Q5T0I2', 'A8MUD1', 'B7Z5V1', 'B7Z373', 'A8MYN7', 'A2A418', 'Q8WVV7', 'F5H1A8'}
9606.ENSP00000362931	SRPK1	{'SRPK1'}	{'ENSG00000096063'}	{'Q5R364', 'Q12890', 'Q5R365', 'B4DS61', 'Q8IY12', 'Q96SB4'}
9606.ENSP00000362932	RAB42	{'RAB42'}	{'ENSG00000188060'}	{'B2R5G2', 'A0A1W2PQ57', 'Q8N4Z0'}
9606.ENSP00000362935	ITGB1BP2	{'ITGB1BP2'}	{'ENSG00000147166'}	{'Q32N04', 'Q9UKP3', 'Q549J7'}
9606.ENSP00000362936	TRNAU1AP	{'TRNAU1AP'}	{'ENSG00000180098'}	{'Q86SU7', 'Q9NX07'}
9606.ENSP00000362937	RCC1	{'RCC1'}	{'ENSG00000180198'}	{'Q6NT97', 'Q16269', 'P18754'}
9606.ENSP00000362942	PHACTR4	{'PHACTR4'}	{'ENSG00000204138'}	{'B9ZVW0', 'Q6NUN6', 'Q8IZ21', 'A2APK6', 'D3DPM3', 'Q8N384', 'Q9H6X0', 'Q68DD4', 'Q9H395', 'Q9H8W6'}
9606.ENSP00000362946	RAB14	{'RAB14'}	{'ENSG00000119396'}	{'Q9UI11', 'P61106', 'P35287', 'B3KR31', 'Q5JVD4', 'Q969L0', 'Q6Q7K5'}
9606.ENSP00000362948	MED18	{'MED18'}	{'ENSG00000130772'}	{'D3DPM1', 'Q9NXU9', 'Q9BUE0'}
9606.ENSP00000362962	CNTRL	{'CNTRL'}	{'ENSG00000119397'}	{'A2A2Y1', 'Q6PKC1', 'B2RP67', 'Q3MN79', 'Q5FWF8', 'Q7Z7A1', 'Q9Y489', 'Q8TEP3', 'Q5JVD0', 'Q6MZR3'}
9606.ENSP00000362965	PTAFR	{'PTAFR'}	{'ENSG00000169403'}	{'A3KMC8', 'A8K2H5', 'P25105'}
9606.ENSP00000362968	CLPSL1	{'CLPSL1'}	{'ENSG00000204140'}	{'B6ZDM9', 'B5G4V2', 'A2RUU4', 'Q5T9G1', 'B2RPE2', 'A7E2T6'}
9606.ENSP00000362978	EYA3	{'EYA3'}	{'ENSG00000158161'}	{'O95463', 'Q99504', 'Q99813', 'B4DNZ7', 'A8K190', 'B4DIR7', 'Q8IVX7'}
9606.ENSP00000362981	TGIF2	{'TGIF2'}	{'ENSG00000118707'}	{'Q9GZN2', 'H0YNI0', 'B2R9U3', 'E1P5T9'}
9606.ENSP00000362987	PHYHIPL	{'PHYHIPL'}	{'ENSG00000165443'}	{'Q96NP7', 'Q96JM9', 'Q8N3W3', 'Q6UXY3', 'Q96FC7', 'B7WP61', 'Q68DF3'}
9606.ENSP00000362991	XKR8	{'XKR8'}	{'ENSG00000158156'}	{'Q9H6D3'}
9606.ENSP00000362993	BICC1	{'BICC1'}	{'ENSG00000122870'}	{'Q9H694'}
9606.ENSP00000362994	TRAF1	{'TRAF1'}	{'ENSG00000056558'}	{'Q13077', 'B4DJ77', 'Q658U1', 'Q8NF13'}
9606.ENSP00000363001	SMPDL3B	{'SMPDL3B'}	{'ENSG00000130768'}	{'Q92485', 'B7ZB35', 'Q96CB7', 'Q5T0Z0'}
9606.ENSP00000363017	RPA2	{'RPA2'}	{'ENSG00000117748'}	{'P15927', 'Q5TEJ5', 'Q52II0', 'Q5TEI9'}
9606.ENSP00000363018	RPL10A	{'RPL10A'}	{'ENSG00000198755'}	{'P52859', 'B2R801', 'Q8J013', 'P53025', 'P62906', 'Q5TZT6'}
9606.ENSP00000363019	UBE2D1	{'UBE2D1'}	{'ENSG00000072401'}	{'A6NLF6', 'P51668', 'A8K786'}
9606.ENSP00000363023	DLGAP4	{'DLGAP4'}	{'ENSG00000080845'}	{'Q9H137', 'E1P5T5', 'Q5T2Y5', 'Q5T2Y4', 'Q9H138', 'Q9H1L7', 'Q5QPG4', 'Q9Y2H0'}
9606.ENSP00000363031	THEMIS2	{'THEMIS2'}	{'ENSG00000130775'}	{'Q9NS90', 'Q5TEJ9', 'Q9BYB6', 'B4DZY3', 'A2RTZ3', 'B4DZT9', 'Q5TEJ8', 'Q5TEJ1', 'Q68DP4', 'O60560', 'Q5TEK1'}
9606.ENSP00000363040	MEGF9	{'MEGF9'}	{'ENSG00000106780'}	{'B7Z315', 'Q9H1U4', 'O75098'}
9606.ENSP00000363041	CISD1	{'CISD1'}	{'ENSG00000122873'}	{'Q9NZ45', 'Q1X902'}
9606.ENSP00000363043	AAR2	{'AAR2'}	{'ENSG00000131043'}	{'Q9H4F9', 'Q9UFK9', 'Q9Y312', 'Q9P1P3', 'E1P5S7'}
9606.ENSP00000363046	IPMK	{'IPMK'}	{'ENSG00000151151'}	{'Q8NFU5'}
9606.ENSP00000363054	STX12	{'STX12'}	{'ENSG00000117758'}	{'Q86Y82', 'O95564', 'B1AJQ7'}
9606.ENSP00000363055	ZWINT	{'ZWINT'}	{'ENSG00000122952'}	{'O95229', 'A6NNV6', 'Q9BWD0', 'Q0D2I3'}
9606.ENSP00000363064	ZNF76	{'ZNF76'}	{'ENSG00000065029'}	{'Q9BQB2', 'P36508'}
9606.ENSP00000363068	PCDH15	{'PCDH15'}	{'ENSG00000150275'}	{'C6ZEF7', 'C6ZEF5', 'Q96QU1', 'Q6TRH8', 'C6ZEF6', 'Q5VY39', 'Q5VY38', 'Q8NDB9', 'Q96QT8', 'A6NL19'}
9606.ENSP00000363071	DES	{'DES'}	{'ENSG00000175084'}	{'Q8NES2', 'Q549R7', 'Q9UHN5', 'Q8TAC4', 'Q549R9', 'Q8TD99', 'Q8IZR1', 'Q15787', 'Q9UJ80', 'Q8TCX2', 'Q8NEU6', 'P17661', 'Q549R8', 'Q8IZR6'}
9606.ENSP00000363079	MBL2	{'MBL2'}	{'ENSG00000165471'}	{'Q86SI4', 'Q4VB14', 'Q4VB12', 'Q96KE4', 'Q96TF9', 'Q96TF8', 'P11226', 'Q4VB13', 'Q5SQS3', 'Q96TF7'}
9606.ENSP00000363081	DKK1	{'DKK1'}	{'ENSG00000107984'}	{'O94907', 'B2RC19'}
9606.ENSP00000363089	TLR4	{'TLR4'}	{'ENSG00000136869'}	{'Q9UK78', 'A8K1Y8', 'Q5VZI8', 'A9XLP9', 'A9XLQ1', 'Q5VZI9', 'B4E194', 'D1CS53', 'Q9UM57', 'O00206', 'A9XLQ0', 'D1CS52'}
9606.ENSP00000363092	PRKG1	{'PRKG1'}	{'ENSG00000185532'}	{'P14619', 'A5YM56', 'Q6P5T7', 'Q13976', 'Q5JSJ6', 'E2PU10', 'B3KSF3', 'Q5JP05'}
9606.ENSP00000363103	SCAND1	{'SCAND1'}	{'ENSG00000171222'}	{'P57086', 'Q6IAG7'}
9606.ENSP00000363117	FGR	{'FGR'}	{'ENSG00000000938'}	{'Q9UIQ3', 'D3DPL7', 'P09769'}
9606.ENSP00000363118	ASAH2B	{'ASAH2B'}	{'ENSG00000204147'}	{'B7Z261', 'P0C7U1'}
9606.ENSP00000363123	AHDC1	{'AHDC1'}	{'ENSG00000126705'}	{'Q6PJK1', 'Q6ZUQ6', 'Q9NUF5', 'Q5TGY4', 'Q5TGY3', 'Q99769'}
9606.ENSP00000363124	PHF20	{'PHF20'}	{'ENSG00000025293'}	{'Q66K49', 'Q9BXA3', 'B2RB56', 'Q9NZ22', 'A7E235', 'Q9BWV4', 'Q9H4J6', 'Q5JWY9', 'Q9H421', 'Q9BVI0', 'Q9BZW3', 'Q566Q2', 'E1P5S3'}
9606.ENSP00000363128	Dec-01	{'DEC1'}	{'ENSG00000173077'}	{'Q9P2X7'}
9606.ENSP00000363134	GJB1	{'GJB1'}	{'ENSG00000169562'}	{'D3DVV2', 'P08034', 'Q5U0S4', 'B2R8R2'}
9606.ENSP00000363135	C6orf106	{'C6orf106'}	{'ENSG00000196821'}	{'Q5VV77', 'Q9H6K1', 'Q9BUR9', 'Q96MG5', 'B2R8K7'}
9606.ENSP00000363136	GPR3	{'GPR3'}	{'ENSG00000181773'}	{'P46089', 'A8K570'}
9606.ENSP00000363139	CD164L2	{'CD164L2'}	{'ENSG00000174950'}	{'B2RPJ0', 'Q6UWJ8', 'Q5JXD6'}
9606.ENSP00000363149	SPDEF	{'SPDEF'}	{'ENSG00000124664'}	{'B4DWH8', 'F5H778', 'O95238'}
9606.ENSP00000363157	TNFSF15	{'TNFSF15'}	{'ENSG00000181634'}	{'Q5VJK8', 'Q8NFE9', 'Q5VWH1', 'O95150', 'Q3SX69'}
9606.ENSP00000363162	ATP6V1G1	{'ATP6V1G1'}	{'ENSG00000136888'}	{'Q6IB33', 'O75348'}
9606.ENSP00000363191	ROMO1	{'ROMO1'}	{'ENSG00000125995'}	{'A7M872', 'Q5QP16', 'Q9H1N2', 'E9KL28', 'Q3MHD5', 'P60602', 'Q9CQ98', 'E1P5R9'}
9606.ENSP00000363193	MED12	{'MED12'}	{'ENSG00000184634'}	{'Q9UND7', 'Q9UHV6', 'O75557', 'O15410', 'Q93074'}
9606.ENSP00000363205	NFS1	{'NFS1'}	{'ENSG00000244005'}	{'Q9NTZ5', 'E1P5R8', 'Q9Y697', 'F5GYK5', 'Q6P0L8', 'B3KMA5', 'Q9Y481', 'B4DXK9'}
9606.ENSP00000363207	AGAP5	{'AGAP5'}	{'ENSG00000172650'}	{'A8MSN5', 'A6NIR3'}
9606.ENSP00000363211	TIMM23B	{'TIMM23B'}	{'ENSG00000204152'}	
9606.ENSP00000363216	OGDHL	{'OGDHL'}	{'ENSG00000197444'}	{'Q8TAN9', 'B4DKG2', 'Q9NVA0', 'A8K2G1', 'Q9ULD0', 'B4E193'}
9606.ENSP00000363226	C10orf53	{'C10orf53'}	{'ENSG00000178645'}	
9606.ENSP00000363228	RBM12	{'RBM12'}	{'ENSG00000244462'}	{'Q8N3B1', 'Q9H196', 'E1P5R6', 'Q9NTZ6', 'O94865', 'B3KRU2'}
9606.ENSP00000363229	SLC18A3	{'SLC18A3'}	{'ENSG00000187714'}	{'B2R7S1', 'Q16572'}
9606.ENSP00000363232	KIF12	{'KIF12'}	{'ENSG00000136883'}	{'Q5TBE0', 'Q96FN5'}
9606.ENSP00000363242	PGBD3	{'PGBD3'}	{'ENSG00000243251'}	
9606.ENSP00000363250	GPN2	{'GPN2'}	{'ENSG00000142751'}	{'Q96HG4', 'Q9H9Y4', 'Q9NW30', 'Q9NUE1'}
9606.ENSP00000363254	DRGX	{'DRGX'}	{'ENSG00000165606'}	{'A6NNA5'}
9606.ENSP00000363255	RGS3	{'RGS3'}	{'ENSG00000138835'}	{'A6NHA0', 'Q5VZ05', 'A8K0V1', 'Q5VZ06', 'Q8IUQ1', 'Q8WV02', 'Q8WXA0', 'Q5VXB8', 'Q6ZRM5', 'Q8NC47', 'Q8NFN5', 'P49796', 'Q8NFN4', 'Q5VXC1', 'Q8TD68', 'Q8NFN6', 'Q8TD59', 'B3KUB2'}
9606.ENSP00000363257	ZDHHC18	{'ZDHHC18'}	{'ENSG00000204160'}	{'Q9NUE0', 'A6NHY9', 'Q5JYH0', 'Q9H020', 'B4DQ84'}
9606.ENSP00000363259	C10orf71	{'C10orf71'}	{'ENSG00000177354'}	{'A0AVL8', 'Q711Q0'}
9606.ENSP00000363260	PIGV	{'PIGV'}	{'ENSG00000060642'}	{'Q5JYG9', 'Q9NUD9', 'Q5JYG7', 'Q5JYG8', 'Q9NX26', 'D3DPL2'}
9606.ENSP00000363268	C10orf128	{'C10orf128'}	{'ENSG00000204161'}	{'Q5T291', 'Q5T292', 'Q5T289', 'A6XND2'}
9606.ENSP00000363270	RUFY4	{'RUFY4'}	{'ENSG00000188282'}	{'Q6ZR96', 'Q6ZNE9'}
9606.ENSP00000363286	POLE3	{'POLE3'}	{'ENSG00000148229'}	{'Q8NCE5', 'Q5W0U1', 'Q9NR32', 'Q9NRF9', 'Q8N758'}
9606.ENSP00000363298	BSPRY	{'BSPRY'}	{'ENSG00000119411'}	{'B3KS19', 'Q9NXN0', 'Q5W0U4', 'Q96DJ2', 'Q9H4E4'}
9606.ENSP00000363308	WDR31	{'WDR31'}	{'ENSG00000148225'}	{'Q5W0T9', 'Q96EG8', 'Q8NA23'}
