"Gene","log2FC","AveExpr","PValue"
"CD300LG",-4.76073333333333,10.6772,6.55929755549718e-05
"CALML3",4.66846666666667,10.2694,0.0431358793570085
"MCEMP1",-4.5244,11.0727666666667,7.4368830808791e-05
"CFAP100",-4.5009,11.2869166666667,0.0025679560901987
"KRT6C",4.46596666666667,10.60105,0.0361031905737311
"CA4",-4.32836666666667,12.1975166666667,0.000893247097741374
"SFTPD",-4.30343333333333,12.8606166666667,9.16925849553717e-05
"KRT6B",4.20526666666667,11.8747333333333,0.00561135257870998
"SFTA3",-4.1397,12.1268166666667,0.00121444608078559
"AQP4",-4.07153333333333,12.3226,9.76132551248883e-05
"ARMC3",-3.9754,11.4664666666667,0.00203399152224831
"C4BPA",-3.8677,12.2039166666667,8.48223614758112e-05
"PRAME",3.84573333333333,11.7526,0.0277217197711158
"COL4A3",-3.7939,11.1500833333333,0.00431977950399121
"C9orf135",-3.7915,11.5212166666667,0.0115381862364664
"CFAP157",-3.75186666666666,10.2281666666667,0.00113437440174843
"DNAI2",-3.74883333333333,11.56685,0.00529402231044375
"SFTPC",-3.71633333333333,13.1001333333333,0.00592543132402124
"C22orf15",-3.6644,11.0993666666667,0.00201987787459276
"KRT14",3.62183333333333,10.6142833333333,0.00320263230251213
"C20orf85",-3.60106666666666,11.6296,0.00822085457430918
"VWA3B",-3.5894,11.2059666666667,0.0044055007585426
"NAPSB",-3.58123333333333,11.8656833333333,0.00292064123164315
"SFTPB",-3.57063333333334,12.1932833333333,0.0768648968932804
"SPRR1B",3.56956666666667,9.86695,0.0303771567639345
"DRC7",-3.55133333333333,10.4423,0.00112161570867742
"CACNG6",-3.5483,11.08675,0.00012704637787142
"C6",-3.5297,11.8049166666667,0.000594104775739103
"FAM216B",-3.5011,12.3085166666667,0.00905206576862374
"C1orf158",-3.4861,10.9827166666667,0.00289317862951128
"AGR3",-3.48339999999999,11.7033666666667,0.00294543474508216
"CD164L2",-3.482,11.4183666666667,0.00743794436981289
"SFTA2",-3.4765,12.34655,0.00525237327935798
"CAPN9",-3.45543333333333,11.03625,0.000315728956821388
"AKAP14",-3.44406666666667,11.5744666666667,0.0110681246109453
"C1orf87",-3.4252,10.9876333333333,0.00579635700119221
"WDR38",-3.41386666666667,10.2055,0.00825660159638444
"ACADL",-3.40393333333334,10.9825333333333,0.000288035320298798
"ERICH3",-3.35763333333333,10.2245166666667,0.00234821899840725
"CFAP46",-3.35266666666667,11.4219333333333,0.00153543636420481
"TCF21",-3.32536666666667,11.5883166666667,0.0353823595764455
"CFAP65",-3.32383333333333,10.0573166666667,0.000290441395622732
"ADH1B",-3.30833333333333,11.6598333333333,0.0161012940383055
