Disease	Gene	metap	metafc
Non-Small Cell Lung Carcinoma	SEPT7P2	3.6799999999999997e-10	-1.593556349
Non-Small Cell Lung Carcinoma	CSPG5	2.18e-10	-1.55055119
Non-Small Cell Lung Carcinoma	FAAH	1.54e-10	-1.523981667
Non-Small Cell Lung Carcinoma	CYBA	7.14e-10	-1.612275595
Non-Small Cell Lung Carcinoma	PRPH	4.46e-10	-1.555384444
Non-Small Cell Lung Carcinoma	MEGF6	1.88e-09	-1.651916479
Non-Small Cell Lung Carcinoma	PCBP4	6.820000000000001e-09	-1.7586405219999999
Non-Small Cell Lung Carcinoma	SLC22A23	2.36e-09	-1.659031973
Non-Small Cell Lung Carcinoma	SLC43A3	9.030000000000001e-10	-1.5795182819999998
Non-Small Cell Lung Carcinoma	PIN4	1.87e-09	-1.614113631
Non-Small Cell Lung Carcinoma	SLC7A6	2.6800000000000003e-09	-1.6373435440000002
Non-Small Cell Lung Carcinoma	SH2D2A	1.57e-09	-1.5872705130000002
Non-Small Cell Lung Carcinoma	MRPL57	3.7e-09	-1.6238013690000002
Non-Small Cell Lung Carcinoma	ERMAP	1.1899999999999999e-08	-1.70433494
Non-Small Cell Lung Carcinoma	CHST12	3.3700000000000004e-08	-1.7895860540000001
Non-Small Cell Lung Carcinoma	LEPR	4.3700000000000004e-09	-1.59393745
Non-Small Cell Lung Carcinoma	ST3GAL2	3.8100000000000004e-08	-1.7922871790000001
Non-Small Cell Lung Carcinoma	TCEAL3	3.4100000000000004e-09	-1.567690377
Non-Small Cell Lung Carcinoma	CDRT4	2.2999999999999998e-08	-1.737166283
Non-Small Cell Lung Carcinoma	MBD1	5.26e-08	-1.8168512819999998
Non-Small Cell Lung Carcinoma	CMTM8	1.49e-07	-1.924802489
Non-Small Cell Lung Carcinoma	DPEP3	2.93e-09	-1.527718821
Non-Small Cell Lung Carcinoma	DICER1-AS1	7.18e-08	-1.810543424
Non-Small Cell Lung Carcinoma	OR7D2	2.08e-08	-1.669768254
Non-Small Cell Lung Carcinoma	FAM160B2	4.92e-06	-2.41375
Non-Small Cell Lung Carcinoma	HAND1	6.1199999999999995e-09	-1.535056236
Non-Small Cell Lung Carcinoma	DCAF5	6.47e-08	-1.7510294530000001
Non-Small Cell Lung Carcinoma	TUT1	1.9e-06	-2.181691667
Non-Small Cell Lung Carcinoma	ZNF274	2.58e-08	-1.6354128209999999
Non-Small Cell Lung Carcinoma	GDPD3	1.73e-08	-1.5661215419999999
